transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI005-TX-0001,HI005,Waipahu,Oahu,HI,2026-06-30 11:58:11,ARD-NANO,Arduino Nano Compatible,Microcontrollers,2,4.61,13.76,27.52,9.22,18.30,Noah,Government,Debit Card,274
HI005-TX-0002,HI005,Waipahu,Oahu,HI,2026-06-30 11:37:54,USB-CBO,USB-C Breakout Board,Connectors,28,1.31,5.14,143.92,36.68,107.24,Koa,Education,ACH,216
HI005-TX-0003,HI005,Waipahu,Oahu,HI,2026-06-30 15:12:24,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.09,8.68,26.04,9.27,16.77,Keanu,Retail,Cash,363
HI005-TX-0004,HI005,Waipahu,Oahu,HI,2026-06-30 10:17:21,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,9.66,28.84,173.04,57.96,115.08,Hana,Education,Mobile Pay,373
HI005-TX-0005,HI005,Waipahu,Oahu,HI,2026-06-30 14:58:38,SOL-CTRL,Solar Charge Controller,Solar Power,8,10.83,31.71,253.68,86.64,167.04,Kaleo,Commercial,Cash,211
HI005-TX-0006,HI005,Waipahu,Oahu,HI,2026-06-30 13:29:21,ESP-32,ESP32 Dev Board,Microcontrollers,1,4.40,13.15,13.15,4.40,8.75,Hana,Commercial,Credit Card,884
HI005-TX-0007,HI005,Waipahu,Oahu,HI,2026-06-30 16:29:29,PWR-12V,12V 5A Power Supply,Power,8,9.74,23.69,189.52,77.92,111.60,Pualani,Commercial,ACH,821
HI005-TX-0008,HI005,Waipahu,Oahu,HI,2026-06-30 15:48:49,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.32,8.48,25.44,9.96,15.48,Akamu,Marine,Mobile Pay,885
HI005-TX-0009,HI005,Waipahu,Oahu,HI,2026-06-30 17:00:00,CON-JMP,Jumper Wire Set,Connectors,18,0.96,3.87,69.66,17.28,52.38,Noelani,Marine,Debit Card,807
HI005-TX-0010,HI005,Waipahu,Oahu,HI,2026-06-30 13:35:42,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,8.23,22.18,110.90,41.15,69.75,Leilani,Tourism/Hospitality,Purchase Order,603
HI005-TX-0011,HI005,Waipahu,Oahu,HI,2026-06-30 12:05:12,SNS-SOIL,Soil Moisture Sensor,Sensors,11,0.96,4.16,45.76,10.56,35.20,Keanu,Government,ACH,29
HI005-TX-0012,HI005,Waipahu,Oahu,HI,2026-06-30 17:43:37,ESP-32,ESP32 Dev Board,Microcontrollers,5,4.31,12.82,64.10,21.55,42.55,Ikaika,Government,Credit Card,795
HI005-TX-0013,HI005,Waipahu,Oahu,HI,2026-06-30 16:21:10,IC-358,LM358 Op Amp,Integrated Circuits,13,0.33,1.25,16.25,4.29,11.96,Lani,Tourism/Hospitality,Purchase Order,710
HI005-TX-0014,HI005,Waipahu,Oahu,HI,2026-06-30 11:42:40,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,8.06,22.47,22.47,8.06,14.41,Lani,Commercial,Cash,527
HI005-TX-0015,HI005,Waipahu,Oahu,HI,2026-06-30 16:32:45,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,8.10,20.88,104.40,40.50,63.90,Keahi,Commercial,Cash,101
HI005-TX-0016,HI005,Waipahu,Oahu,HI,2026-06-30 08:44:32,SNS-ULT,Ultrasonic Distance Sensor,Sensors,22,1.27,5.73,126.06,27.94,98.12,Iolana,Marine,Credit Card,515
HI005-TX-0017,HI005,Waipahu,Oahu,HI,2026-06-30 15:13:18,CON-JMP,Jumper Wire Set,Connectors,17,0.96,3.78,64.26,16.32,47.94,Noah,Commercial,Debit Card,751
HI005-TX-0018,HI005,Waipahu,Oahu,HI,2026-06-30 13:51:52,ESP-32,ESP32 Dev Board,Microcontrollers,1,4.03,13.48,13.48,4.03,9.45,Ailani,Marine,Debit Card,13
HI005-TX-0019,HI005,Waipahu,Oahu,HI,2026-06-30 16:30:33,USB-CBO,USB-C Breakout Board,Connectors,7,1.38,5.73,40.11,9.66,30.45,Iolana,Maker/Hobbyist,Purchase Order,79
