transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI030-TX-0001,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 16:17:40,TR-3904,2N3904 NPN Transistor,Semiconductors,26,0.06,0.24,6.24,1.56,4.68,Hana,Education,Credit Card,256
HI030-TX-0002,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 13:12:08,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,8.39,21.91,109.55,41.95,67.60,Leilani,Marine,Cash,600
HI030-TX-0003,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 09:37:07,ESP-32,ESP32 Dev Board,Microcontrollers,1,4.39,12.81,12.81,4.39,8.42,Ikaika,Retail,Cash,501
HI030-TX-0004,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 14:50:39,PWR-12V,12V 5A Power Supply,Power,5,9.47,25.53,127.65,47.35,80.30,Ikaika,Maker/Hobbyist,Credit Card,142
HI030-TX-0005,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 09:18:18,USB-CBO,USB-C Breakout Board,Connectors,38,1.46,5.30,201.40,55.48,145.92,Mika,Tourism/Hospitality,Credit Card,67
HI030-TX-0006,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 16:40:44,RES-220,220 Ohm Resistor,Resistors,22,0.03,0.13,2.86,0.66,2.20,Nalu,Marine,Cash,863
HI030-TX-0007,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 13:33:43,SNS-ULT,Ultrasonic Distance Sensor,Sensors,34,1.23,5.63,191.42,41.82,149.60,Kaleo,Marine,Debit Card,81
HI030-TX-0008,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 13:23:17,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.76,14.81,74.05,23.80,50.25,Keahi,Maker/Hobbyist,Purchase Order,380
HI030-TX-0009,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 14:10:45,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.32,7.81,54.67,16.24,38.43,Keahi,Commercial,ACH,130
HI030-TX-0010,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 13:52:35,SNS-ULT,Ultrasonic Distance Sensor,Sensors,30,1.34,5.42,162.60,40.20,122.40,Hana,Education,Debit Card,413
HI030-TX-0011,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 11:59:57,RES-001,1k Ohm Resistor,Resistors,27,0.03,0.13,3.51,0.81,2.70,Kaleo,Maker/Hobbyist,Mobile Pay,371
HI030-TX-0012,HI030,Downtown Honolulu,Oahu,HI,2026-06-30 15:50:12,PICO-RP,Raspberry Pi Pico,Microcontrollers,5,3.06,8.48,42.40,15.30,27.10,Mika,Maker/Hobbyist,Purchase Order,497
