transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI054-TX-0001,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 15:45:20,BAT-AAH,AA Battery Holder,Batteries,20,0.49,2.88,57.60,9.80,47.80,Koa,Retail,ACH,674
HI054-TX-0002,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 17:52:46,PWR-12V,12V 5A Power Supply,Power,3,8.76,24.45,73.35,26.28,47.07,Hana,Retail,Mobile Pay,532
HI054-TX-0003,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:05:37,SOL-CTRL,Solar Charge Controller,Solar Power,6,10.28,33.54,201.24,61.68,139.56,Keahi,Marine,Cash,307
HI054-TX-0004,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:45:08,IC-358,LM358 Op Amp,Integrated Circuits,30,0.31,1.24,37.20,9.30,27.90,Kai,Tourism/Hospitality,Credit Card,536
HI054-TX-0005,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 08:22:43,TOOL-SOL,Soldering Iron Tips,Tools,5,1.87,7.42,37.10,9.35,27.75,Leilani,Government,ACH,381
HI054-TX-0006,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:56:20,PICO-RP,Raspberry Pi Pico,Microcontrollers,7,3.24,8.30,58.10,22.68,35.42,Noah,Retail,Cash,864
HI054-TX-0007,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 13:52:47,TOOL-WIRE,Wire Stripper,Tools,4,5.10,15.39,61.56,20.40,41.16,Leilani,Commercial,Credit Card,543
HI054-TX-0008,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 12:32:10,TOOL-SOL,Soldering Iron Tips,Tools,5,2.04,8.06,40.30,10.20,30.10,Iolana,Government,Purchase Order,244
HI054-TX-0009,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 13:45:36,CAP-100,100uF Capacitor,Capacitors,22,0.17,0.59,12.98,3.74,9.24,Hana,Government,Cash,747
HI054-TX-0010,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 15:15:03,IC-358,LM358 Op Amp,Integrated Circuits,27,0.30,1.16,31.32,8.10,23.22,Alika,Government,Debit Card,74
HI054-TX-0011,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 17:37:35,SNS-SOIL,Soil Moisture Sensor,Sensors,38,0.98,4.49,170.62,37.24,133.38,Kai,Marine,Credit Card,691
HI054-TX-0012,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 15:27:07,SNS-ULT,Ultrasonic Distance Sensor,Sensors,8,1.26,5.58,44.64,10.08,34.56,Ailani,Commercial,Mobile Pay,508
HI054-TX-0013,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 12:42:59,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,9.53,27.21,190.47,66.71,123.76,Mika,Commercial,Purchase Order,719
HI054-TX-0014,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:33:59,RES-220,220 Ohm Resistor,Resistors,27,0.03,0.14,3.78,0.81,2.97,Lani,Commercial,Purchase Order,251
HI054-TX-0015,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 11:50:25,RES-010,10k Ohm Resistor,Resistors,13,0.03,0.14,1.82,0.39,1.43,Kaleo,Education,Purchase Order,317
HI054-TX-0016,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:43:08,LED-BLU,5mm Blue LED,LEDs,40,0.07,0.32,12.80,2.80,10.00,Kaleo,Retail,Credit Card,618
HI054-TX-0017,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 11:26:09,LED-RED,5mm Red LED,LEDs,21,0.06,0.26,5.46,1.26,4.20,Malia,Education,Credit Card,833
HI054-TX-0018,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 08:51:06,MOS-44N,IRFZ44N MOSFET,Semiconductors,10,0.63,2.30,23.00,6.30,16.70,Hana,Commercial,ACH,837
HI054-TX-0019,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 13:24:01,IC-REG,7805 Voltage Regulator,Integrated Circuits,11,0.19,0.96,10.56,2.09,8.47,Hana,Retail,Debit Card,187
HI054-TX-0020,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 11:15:21,PWR-5V2,5V 2A Power Supply,Power,4,3.57,10.84,43.36,14.28,29.08,Kaleo,Tourism/Hospitality,ACH,549
HI054-TX-0021,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 10:36:18,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.60,6.66,53.28,12.80,40.48,Mika,Commercial,Mobile Pay,211
HI054-TX-0022,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 11:29:25,SNS-PIR,PIR Motion Sensor,Sensors,4,1.63,6.02,24.08,6.52,17.56,Mika,Commercial,Purchase Order,599
HI054-TX-0023,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:01:54,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,35,0.05,0.20,7.00,1.75,5.25,Noelani,Commercial,Debit Card,372
HI054-TX-0024,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 09:07:00,RES-220,220 Ohm Resistor,Resistors,26,0.03,0.14,3.64,0.78,2.86,Mika,Maker/Hobbyist,Mobile Pay,750
HI054-TX-0025,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 17:30:03,LED-BLU,5mm Blue LED,LEDs,5,0.07,0.34,1.70,0.35,1.35,Koa,Retail,Purchase Order,625
HI054-TX-0026,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 08:47:58,DIO-4007,1N4007 Diode,Semiconductors,33,0.05,0.21,6.93,1.65,5.28,Iolana,Tourism/Hospitality,Debit Card,842
HI054-TX-0027,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 15:20:00,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.55,22.33,156.31,59.85,96.46,Leilani,Tourism/Hospitality,Credit Card,740
HI054-TX-0028,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 13:12:42,PWR-5V2,5V 2A Power Supply,Power,2,3.68,10.62,21.24,7.36,13.88,Iolana,Education,Cash,503
HI054-TX-0029,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:36:37,IC-358,LM358 Op Amp,Integrated Circuits,17,0.32,1.26,21.42,5.44,15.98,Akamu,Maker/Hobbyist,ACH,644
HI054-TX-0030,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 09:23:41,LED-BLU,5mm Blue LED,LEDs,32,0.06,0.34,10.88,1.92,8.96,Ikaika,Education,Purchase Order,176
HI054-TX-0031,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 11:26:18,TOOL-DMM,Digital Multimeter,Tools,6,8.55,28.83,172.98,51.30,121.68,Malia,Government,ACH,638
HI054-TX-0032,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 09:45:09,PWR-5V2,5V 2A Power Supply,Power,4,3.83,11.08,44.32,15.32,29.00,Ailani,Government,ACH,440
HI054-TX-0033,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 13:56:21,IC-555,NE555 Timer IC,Integrated Circuits,30,0.35,1.39,41.70,10.50,31.20,Malia,Retail,Debit Card,737
HI054-TX-0034,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 16:54:36,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.30,17.15,102.90,31.80,71.10,Ailani,Tourism/Hospitality,Debit Card,288
HI054-TX-0035,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 10:42:57,SNS-ULT,Ultrasonic Distance Sensor,Sensors,37,1.25,5.37,198.69,46.25,152.44,Makana,Commercial,Credit Card,241
HI054-TX-0036,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 09:39:51,TOOL-WIRE,Wire Stripper,Tools,1,5.23,15.24,15.24,5.23,10.01,Ikaika,Maker/Hobbyist,Credit Card,581
HI054-TX-0037,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 09:24:45,SOL-CTRL,Solar Charge Controller,Solar Power,7,10.33,34.19,239.33,72.31,167.02,Makana,Tourism/Hospitality,Purchase Order,155
HI054-TX-0038,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 11:35:16,SNS-DHT,DHT22 Temperature Sensor,Sensors,4,2.33,7.61,30.44,9.32,21.12,Koa,Education,Credit Card,267
HI054-TX-0039,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 12:03:27,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.68,13.34,80.04,28.08,51.96,Noelani,Education,Mobile Pay,326
HI054-TX-0040,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 15:18:18,LED-BLU,5mm Blue LED,LEDs,2,0.07,0.31,0.62,0.14,0.48,Kaleo,Tourism/Hospitality,Debit Card,843
HI054-TX-0041,HI054,Waikoloa,Hawaii Island,HI,2026-06-30 09:15:02,PWR-BUCK,Buck Converter Module,Power,36,1.08,5.20,187.20,38.88,148.32,Kaleo,Maker/Hobbyist,Purchase Order,32
