transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI014-TX-0001,HI014,Waimanalo,Oahu,HI,2026-06-30 09:56:57,IC-555,NE555 Timer IC,Integrated Circuits,5,0.34,1.39,6.95,1.70,5.25,Alika,Commercial,Debit Card,750
HI014-TX-0002,HI014,Waimanalo,Oahu,HI,2026-06-30 17:32:49,ARD-NANO,Arduino Nano Compatible,Microcontrollers,3,4.60,14.78,44.34,13.80,30.54,Ailani,Marine,ACH,272
HI014-TX-0003,HI014,Waimanalo,Oahu,HI,2026-06-30 17:52:08,IC-555,NE555 Timer IC,Integrated Circuits,38,0.36,1.34,50.92,13.68,37.24,Alika,Tourism/Hospitality,ACH,664
HI014-TX-0004,HI014,Waimanalo,Oahu,HI,2026-06-30 10:43:01,LED-BLU,5mm Blue LED,LEDs,5,0.06,0.35,1.75,0.30,1.45,Makana,Marine,Purchase Order,1
HI014-TX-0005,HI014,Waimanalo,Oahu,HI,2026-06-30 17:59:42,PICO-RP,Raspberry Pi Pico,Microcontrollers,7,3.12,8.51,59.57,21.84,37.73,Noelani,Maker/Hobbyist,Cash,652
HI014-TX-0006,HI014,Waimanalo,Oahu,HI,2026-06-30 11:50:32,USB-CBO,USB-C Breakout Board,Connectors,36,1.33,5.28,190.08,47.88,142.20,Kaleo,Government,Cash,558
HI014-TX-0007,HI014,Waimanalo,Oahu,HI,2026-06-30 14:04:33,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.43,12.28,36.84,13.29,23.55,Keanu,Retail,Credit Card,490
HI014-TX-0008,HI014,Waimanalo,Oahu,HI,2026-06-30 09:44:21,LED-RED,5mm Red LED,LEDs,9,0.06,0.29,2.61,0.54,2.07,Lani,Marine,Credit Card,438
HI014-TX-0009,HI014,Waimanalo,Oahu,HI,2026-06-30 08:38:21,REL-5V,5V Relay Module,Relays,23,0.95,5.31,122.13,21.85,100.28,Leilani,Maker/Hobbyist,Purchase Order,222
HI014-TX-0010,HI014,Waimanalo,Oahu,HI,2026-06-30 12:59:50,USB-CBO,USB-C Breakout Board,Connectors,32,1.46,5.60,179.20,46.72,132.48,Iolana,Maker/Hobbyist,Credit Card,585
HI014-TX-0011,HI014,Waimanalo,Oahu,HI,2026-06-30 14:33:48,SNS-DHT,DHT22 Temperature Sensor,Sensors,8,2.33,8.04,64.32,18.64,45.68,Kai,Marine,Debit Card,211
HI014-TX-0012,HI014,Waimanalo,Oahu,HI,2026-06-30 13:28:52,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,8.81,22.40,22.40,8.81,13.59,Makana,Commercial,Cash,271
HI014-TX-0013,HI014,Waimanalo,Oahu,HI,2026-06-30 14:35:48,MOS-44N,IRFZ44N MOSFET,Semiconductors,33,0.63,2.34,77.22,20.79,56.43,Ailani,Maker/Hobbyist,Debit Card,276
HI014-TX-0014,HI014,Waimanalo,Oahu,HI,2026-06-30 09:16:17,USB-CBO,USB-C Breakout Board,Connectors,22,1.45,5.66,124.52,31.90,92.62,Koa,Marine,Mobile Pay,449
HI014-TX-0015,HI014,Waimanalo,Oahu,HI,2026-06-30 15:28:11,IC-358,LM358 Op Amp,Integrated Circuits,28,0.29,1.16,32.48,8.12,24.36,Leilani,Government,Credit Card,152
