transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI068-TX-0001,HI068,Kekaha,Kauai,HI,2026-06-30 14:14:29,LED-RGB,RGB LED Strip,LEDs,6,5.22,14.85,89.10,31.32,57.78,Pualani,Education,Debit Card,724
HI068-TX-0002,HI068,Kekaha,Kauai,HI,2026-06-30 11:58:47,PWR-12V,12V 5A Power Supply,Power,7,8.89,24.19,169.33,62.23,107.10,Alika,Government,ACH,674
HI068-TX-0003,HI068,Kekaha,Kauai,HI,2026-06-30 11:11:25,PWR-5V2,5V 2A Power Supply,Power,3,3.74,10.79,32.37,11.22,21.15,Noah,Marine,Debit Card,0
HI068-TX-0004,HI068,Kekaha,Kauai,HI,2026-06-30 08:15:33,PWR-BUCK,Buck Converter Module,Power,39,0.98,5.02,195.78,38.22,157.56,Ikaika,Commercial,Debit Card,512
HI068-TX-0005,HI068,Kekaha,Kauai,HI,2026-06-30 16:24:38,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,4.04,13.95,27.90,8.08,19.82,Malia,Retail,Debit Card,28
HI068-TX-0006,HI068,Kekaha,Kauai,HI,2026-06-30 09:17:18,SNS-PIR,PIR Motion Sensor,Sensors,8,1.52,5.86,46.88,12.16,34.72,Lani,Commercial,Cash,719
HI068-TX-0007,HI068,Kekaha,Kauai,HI,2026-06-30 18:00:12,USB-CBO,USB-C Breakout Board,Connectors,28,1.44,5.64,157.92,40.32,117.60,Kai,Maker/Hobbyist,Credit Card,398
HI068-TX-0008,HI068,Kekaha,Kauai,HI,2026-06-30 14:27:50,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,9.22,26.82,134.10,46.10,88.00,Pualani,Retail,ACH,625
HI068-TX-0009,HI068,Kekaha,Kauai,HI,2026-06-30 16:31:37,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,7.74,22.24,66.72,23.22,43.50,Nalu,Retail,ACH,173
HI068-TX-0010,HI068,Kekaha,Kauai,HI,2026-06-30 12:04:32,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.05,13.49,26.98,8.10,18.88,Ailani,Tourism/Hospitality,Debit Card,217
HI068-TX-0011,HI068,Kekaha,Kauai,HI,2026-06-30 11:46:20,PWR-12V,12V 5A Power Supply,Power,7,8.85,26.57,185.99,61.95,124.04,Makana,Government,Purchase Order,300
