transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI080-TX-0001,HI080,Royal Kunia,Oahu,HI,2026-06-30 09:35:54,USB-CBO,USB-C Breakout Board,Connectors,27,1.42,5.20,140.40,38.34,102.06,Leilani,Education,Purchase Order,514
HI080-TX-0002,HI080,Royal Kunia,Oahu,HI,2026-06-30 16:12:21,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.85,14.15,28.30,7.70,20.60,Ikaika,Retail,Credit Card,752
HI080-TX-0003,HI080,Royal Kunia,Oahu,HI,2026-06-30 10:58:34,BRD-830,Breadboard 830 Tie Points,Connectors,5,1.60,6.89,34.45,8.00,26.45,Malia,Retail,Credit Card,634
HI080-TX-0004,HI080,Royal Kunia,Oahu,HI,2026-06-30 12:07:10,IC-555,NE555 Timer IC,Integrated Circuits,20,0.37,1.33,26.60,7.40,19.20,Noelani,Maker/Hobbyist,Debit Card,397
HI080-TX-0005,HI080,Royal Kunia,Oahu,HI,2026-06-30 16:18:10,LED-RGB,RGB LED Strip,LEDs,8,5.02,13.39,107.12,40.16,66.96,Alika,Commercial,Credit Card,310
HI080-TX-0006,HI080,Royal Kunia,Oahu,HI,2026-06-30 12:49:18,ESP-32,ESP32 Dev Board,Microcontrollers,4,4.07,13.85,55.40,16.28,39.12,Mika,Marine,Credit Card,491
HI080-TX-0007,HI080,Royal Kunia,Oahu,HI,2026-06-30 12:46:31,IC-358,LM358 Op Amp,Integrated Circuits,5,0.30,1.27,6.35,1.50,4.85,Ikaika,Marine,Purchase Order,173
HI080-TX-0008,HI080,Royal Kunia,Oahu,HI,2026-06-30 17:12:23,LED-BLU,5mm Blue LED,LEDs,30,0.07,0.32,9.60,2.10,7.50,Noelani,Commercial,Mobile Pay,471
HI080-TX-0009,HI080,Royal Kunia,Oahu,HI,2026-06-30 10:29:12,IC-358,LM358 Op Amp,Integrated Circuits,17,0.32,1.18,20.06,5.44,14.62,Iolana,Maker/Hobbyist,Cash,400
HI080-TX-0010,HI080,Royal Kunia,Oahu,HI,2026-06-30 17:52:28,SNS-PIR,PIR Motion Sensor,Sensors,3,1.49,6.33,18.99,4.47,14.52,Mika,Tourism/Hospitality,Cash,380
HI080-TX-0011,HI080,Royal Kunia,Oahu,HI,2026-06-30 08:10:33,ARD-NANO,Arduino Nano Compatible,Microcontrollers,1,4.74,15.03,15.03,4.74,10.29,Mika,Marine,Credit Card,281
HI080-TX-0012,HI080,Royal Kunia,Oahu,HI,2026-06-30 09:07:14,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.33,13.82,27.64,8.66,18.98,Keahi,Maker/Hobbyist,Mobile Pay,35
HI080-TX-0013,HI080,Royal Kunia,Oahu,HI,2026-06-30 17:05:54,PICO-RP,Raspberry Pi Pico,Microcontrollers,4,3.47,8.52,34.08,13.88,20.20,Makana,Retail,Credit Card,605
HI080-TX-0014,HI080,Royal Kunia,Oahu,HI,2026-06-30 17:34:44,TOOL-SOL,Soldering Iron Tips,Tools,5,2.11,8.02,40.10,10.55,29.55,Malia,Tourism/Hospitality,Mobile Pay,422
HI080-TX-0015,HI080,Royal Kunia,Oahu,HI,2026-06-30 10:26:07,CAP-100,100uF Capacitor,Capacitors,9,0.16,0.63,5.67,1.44,4.23,Iolana,Retail,Purchase Order,51
HI080-TX-0016,HI080,Royal Kunia,Oahu,HI,2026-06-30 08:27:55,SNS-DHT,DHT22 Temperature Sensor,Sensors,3,2.39,7.65,22.95,7.17,15.78,Iolana,Education,Cash,95
HI080-TX-0017,HI080,Royal Kunia,Oahu,HI,2026-06-30 14:23:44,SNS-DHT,DHT22 Temperature Sensor,Sensors,6,2.64,7.32,43.92,15.84,28.08,Leilani,Tourism/Hospitality,Debit Card,416
HI080-TX-0018,HI080,Royal Kunia,Oahu,HI,2026-06-30 13:04:41,RES-010,10k Ohm Resistor,Resistors,15,0.03,0.13,1.95,0.45,1.50,Keanu,Government,Credit Card,609
