transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI089-TX-0001,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 16:55:43,PWR-12V,12V 5A Power Supply,Power,6,9.00,24.15,144.90,54.00,90.90,Kaleo,Retail,Debit Card,641
HI089-TX-0002,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 11:01:19,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.42,14.73,73.65,22.10,51.55,Noah,Education,Debit Card,506
HI089-TX-0003,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 16:13:57,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,9,0.04,0.20,1.80,0.36,1.44,Makana,Retail,Cash,593
HI089-TX-0004,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 10:11:17,PWR-BUCK,Buck Converter Module,Power,5,1.06,4.81,24.05,5.30,18.75,Iolana,Commercial,Cash,347
HI089-TX-0005,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 14:35:11,TOOL-DMM,Digital Multimeter,Tools,2,9.19,26.38,52.76,18.38,34.38,Iolana,Marine,Cash,425
HI089-TX-0006,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 09:49:34,PWR-BUCK,Buck Converter Module,Power,3,1.05,4.95,14.85,3.15,11.70,Lani,Government,Cash,515
HI089-TX-0007,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 10:18:18,SNS-ULT,Ultrasonic Distance Sensor,Sensors,27,1.22,5.11,137.97,32.94,105.03,Nalu,Retail,Cash,559
HI089-TX-0008,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 14:22:58,PWR-BUCK,Buck Converter Module,Power,4,1.11,4.72,18.88,4.44,14.44,Iolana,Education,ACH,580
HI089-TX-0009,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 09:11:14,IC-358,LM358 Op Amp,Integrated Circuits,24,0.32,1.24,29.76,7.68,22.08,Pualani,Marine,Purchase Order,32
HI089-TX-0010,HI089,Kona Industrial,Hawaii Island,HI,2026-06-30 13:07:34,SNS-SOIL,Soil Moisture Sensor,Sensors,17,0.91,4.16,70.72,15.47,55.25,Keanu,Government,ACH,858
