transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI087-TX-0001,HI087,South Kihei,Maui,HI,2026-06-30 08:15:43,SNS-ULT,Ultrasonic Distance Sensor,Sensors,2,1.32,5.34,10.68,2.64,8.04,Noelani,Maker/Hobbyist,ACH,731
HI087-TX-0002,HI087,South Kihei,Maui,HI,2026-06-30 09:02:33,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,8.87,25.67,154.02,53.22,100.80,Lani,Retail,ACH,411
HI087-TX-0003,HI087,South Kihei,Maui,HI,2026-06-30 15:24:27,MOS-44N,IRFZ44N MOSFET,Semiconductors,9,0.59,2.54,22.86,5.31,17.55,Keanu,Marine,ACH,191
HI087-TX-0004,HI087,South Kihei,Maui,HI,2026-06-30 11:38:34,IC-555,NE555 Timer IC,Integrated Circuits,39,0.36,1.33,51.87,14.04,37.83,Leilani,Education,Cash,464
HI087-TX-0005,HI087,South Kihei,Maui,HI,2026-06-30 12:11:10,SNS-ULT,Ultrasonic Distance Sensor,Sensors,9,1.35,5.46,49.14,12.15,36.99,Akamu,Commercial,Cash,737
HI087-TX-0006,HI087,South Kihei,Maui,HI,2026-06-30 09:49:57,PWR-5V2,5V 2A Power Supply,Power,7,3.82,11.05,77.35,26.74,50.61,Hana,Commercial,Debit Card,229
HI087-TX-0007,HI087,South Kihei,Maui,HI,2026-06-30 17:20:50,PWR-5V2,5V 2A Power Supply,Power,3,3.57,10.35,31.05,10.71,20.34,Ailani,Retail,Debit Card,852
HI087-TX-0008,HI087,South Kihei,Maui,HI,2026-06-30 15:51:26,LED-BLU,5mm Blue LED,LEDs,26,0.07,0.35,9.10,1.82,7.28,Mika,Retail,Cash,120
HI087-TX-0009,HI087,South Kihei,Maui,HI,2026-06-30 12:26:59,LED-RGB,RGB LED Strip,LEDs,1,5.19,13.68,13.68,5.19,8.49,Kai,Tourism/Hospitality,Mobile Pay,67
HI087-TX-0010,HI087,South Kihei,Maui,HI,2026-06-30 16:36:28,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.06,12.88,77.28,24.36,52.92,Keahi,Tourism/Hospitality,ACH,880
HI087-TX-0011,HI087,South Kihei,Maui,HI,2026-06-30 11:03:37,LED-RED,5mm Red LED,LEDs,19,0.06,0.28,5.32,1.14,4.18,Hana,Tourism/Hospitality,Purchase Order,830
HI087-TX-0012,HI087,South Kihei,Maui,HI,2026-06-30 12:13:05,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.27,8.71,8.71,3.27,5.44,Koa,Maker/Hobbyist,Credit Card,215
HI087-TX-0013,HI087,South Kihei,Maui,HI,2026-06-30 10:41:22,BAT-LIPO,LiPo Battery Pack,Batteries,3,5.28,17.07,51.21,15.84,35.37,Keanu,Maker/Hobbyist,Debit Card,405
HI087-TX-0014,HI087,South Kihei,Maui,HI,2026-06-30 11:38:06,LED-BLU,5mm Blue LED,LEDs,7,0.06,0.33,2.31,0.42,1.89,Kaleo,Marine,Credit Card,31
HI087-TX-0015,HI087,South Kihei,Maui,HI,2026-06-30 08:40:59,RES-220,220 Ohm Resistor,Resistors,36,0.03,0.14,5.04,1.08,3.96,Keanu,Commercial,Mobile Pay,734
HI087-TX-0016,HI087,South Kihei,Maui,HI,2026-06-30 12:55:28,BAT-AAH,AA Battery Holder,Batteries,38,0.52,2.65,100.70,19.76,80.94,Lani,Marine,Purchase Order,405
HI087-TX-0017,HI087,South Kihei,Maui,HI,2026-06-30 15:10:15,LED-RGB,RGB LED Strip,LEDs,8,4.98,13.63,109.04,39.84,69.20,Keanu,Government,Purchase Order,660
HI087-TX-0018,HI087,South Kihei,Maui,HI,2026-06-30 15:16:57,LED-RED,5mm Red LED,LEDs,40,0.06,0.28,11.20,2.40,8.80,Kai,Retail,Credit Card,425
HI087-TX-0019,HI087,South Kihei,Maui,HI,2026-06-30 13:58:40,LED-BLU,5mm Blue LED,LEDs,24,0.07,0.33,7.92,1.68,6.24,Malia,Marine,Mobile Pay,661
HI087-TX-0020,HI087,South Kihei,Maui,HI,2026-06-30 08:56:11,PWR-5V2,5V 2A Power Supply,Power,3,3.76,10.27,30.81,11.28,19.53,Keanu,Government,ACH,140
HI087-TX-0021,HI087,South Kihei,Maui,HI,2026-06-30 12:55:57,LED-RED,5mm Red LED,LEDs,4,0.05,0.26,1.04,0.20,0.84,Noelani,Marine,Debit Card,206
HI087-TX-0022,HI087,South Kihei,Maui,HI,2026-06-30 12:49:36,BAT-AAH,AA Battery Holder,Batteries,8,0.49,2.66,21.28,3.92,17.36,Nalu,Marine,Mobile Pay,509
HI087-TX-0023,HI087,South Kihei,Maui,HI,2026-06-30 13:36:13,ARD-NANO,Arduino Nano Compatible,Microcontrollers,4,4.98,14.10,56.40,19.92,36.48,Kai,Government,Purchase Order,176
HI087-TX-0024,HI087,South Kihei,Maui,HI,2026-06-30 13:49:40,LED-RGB,RGB LED Strip,LEDs,4,4.75,13.26,53.04,19.00,34.04,Makana,Tourism/Hospitality,Cash,692
HI087-TX-0025,HI087,South Kihei,Maui,HI,2026-06-30 17:10:03,LED-RED,5mm Red LED,LEDs,38,0.06,0.28,10.64,2.28,8.36,Iolana,Marine,Purchase Order,644
HI087-TX-0026,HI087,South Kihei,Maui,HI,2026-06-30 14:20:23,ARD-UNO,Arduino Uno Compatible,Microcontrollers,4,7.75,20.67,82.68,31.00,51.68,Leilani,Marine,Debit Card,784
HI087-TX-0027,HI087,South Kihei,Maui,HI,2026-06-30 17:01:08,LED-RGB,RGB LED Strip,LEDs,4,5.30,14.76,59.04,21.20,37.84,Lani,Education,Mobile Pay,795
HI087-TX-0028,HI087,South Kihei,Maui,HI,2026-06-30 08:04:15,REL-5V,5V Relay Module,Relays,37,0.93,5.23,193.51,34.41,159.10,Noah,Maker/Hobbyist,Debit Card,475
HI087-TX-0029,HI087,South Kihei,Maui,HI,2026-06-30 17:14:14,LED-RED,5mm Red LED,LEDs,20,0.05,0.29,5.80,1.00,4.80,Pualani,Maker/Hobbyist,Purchase Order,770
HI087-TX-0030,HI087,South Kihei,Maui,HI,2026-06-30 09:29:49,BRD-830,Breadboard 830 Tie Points,Connectors,3,1.51,6.12,18.36,4.53,13.83,Noelani,Government,Debit Card,95
HI087-TX-0031,HI087,South Kihei,Maui,HI,2026-06-30 10:38:32,PWR-12V,12V 5A Power Supply,Power,1,9.69,26.30,26.30,9.69,16.61,Keanu,Commercial,Mobile Pay,41
HI087-TX-0032,HI087,South Kihei,Maui,HI,2026-06-30 13:46:47,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.05,16.92,101.52,30.30,71.22,Noah,Government,Cash,675
HI087-TX-0033,HI087,South Kihei,Maui,HI,2026-06-30 08:57:06,SNS-DHT,DHT22 Temperature Sensor,Sensors,4,2.57,7.35,29.40,10.28,19.12,Malia,Government,ACH,243
HI087-TX-0034,HI087,South Kihei,Maui,HI,2026-06-30 16:09:54,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.54,20.44,143.08,59.78,83.30,Pualani,Tourism/Hospitality,Debit Card,28
HI087-TX-0035,HI087,South Kihei,Maui,HI,2026-06-30 16:50:51,RES-010,10k Ohm Resistor,Resistors,2,0.03,0.13,0.26,0.06,0.20,Koa,Tourism/Hospitality,Credit Card,117
HI087-TX-0036,HI087,South Kihei,Maui,HI,2026-06-30 12:20:39,SNS-PIR,PIR Motion Sensor,Sensors,2,1.55,5.78,11.56,3.10,8.46,Nalu,Government,Cash,395
HI087-TX-0037,HI087,South Kihei,Maui,HI,2026-06-30 16:07:23,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,1,0.04,0.18,0.18,0.04,0.14,Hana,Commercial,Purchase Order,334
HI087-TX-0038,HI087,South Kihei,Maui,HI,2026-06-30 10:13:04,BRD-830,Breadboard 830 Tie Points,Connectors,3,1.51,6.28,18.84,4.53,14.31,Makana,Retail,Credit Card,409
HI087-TX-0039,HI087,South Kihei,Maui,HI,2026-06-30 16:18:16,PWR-12V,12V 5A Power Supply,Power,7,8.94,25.85,180.95,62.58,118.37,Pualani,Government,ACH,27
HI087-TX-0040,HI087,South Kihei,Maui,HI,2026-06-30 14:34:59,TR-3904,2N3904 NPN Transistor,Semiconductors,17,0.06,0.24,4.08,1.02,3.06,Lani,Education,Cash,400
HI087-TX-0041,HI087,South Kihei,Maui,HI,2026-06-30 11:01:54,LED-BLU,5mm Blue LED,LEDs,19,0.07,0.33,6.27,1.33,4.94,Lani,Marine,Cash,563
HI087-TX-0042,HI087,South Kihei,Maui,HI,2026-06-30 15:08:08,BAT-AAH,AA Battery Holder,Batteries,25,0.48,2.65,66.25,12.00,54.25,Kaleo,Maker/Hobbyist,ACH,600
HI087-TX-0043,HI087,South Kihei,Maui,HI,2026-06-30 15:21:56,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,8.52,21.56,21.56,8.52,13.04,Keahi,Government,Credit Card,846
