transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI092-TX-0001,HI092,Molokai Harbor,Molokai,HI,2026-06-30 10:45:21,TOOL-DMM,Digital Multimeter,Tools,1,8.87,25.69,25.69,8.87,16.82,Koa,Tourism/Hospitality,ACH,85
HI092-TX-0002,HI092,Molokai Harbor,Molokai,HI,2026-06-30 11:36:07,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,3.90,14.57,58.28,15.60,42.68,Nalu,Marine,Credit Card,329
HI092-TX-0003,HI092,Molokai Harbor,Molokai,HI,2026-06-30 17:21:03,PWR-12V,12V 5A Power Supply,Power,6,9.91,26.47,158.82,59.46,99.36,Ailani,Marine,Purchase Order,407
HI092-TX-0004,HI092,Molokai Harbor,Molokai,HI,2026-06-30 15:54:53,LED-RGB,RGB LED Strip,LEDs,8,5.27,14.24,113.92,42.16,71.76,Lani,Maker/Hobbyist,Purchase Order,796
HI092-TX-0005,HI092,Molokai Harbor,Molokai,HI,2026-06-30 09:11:04,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,4.04,14.62,58.48,16.16,42.32,Lani,Retail,Cash,447
HI092-TX-0006,HI092,Molokai Harbor,Molokai,HI,2026-06-30 17:53:52,TOOL-DMM,Digital Multimeter,Tools,2,9.27,26.74,53.48,18.54,34.94,Keahi,Commercial,Purchase Order,892
HI092-TX-0007,HI092,Molokai Harbor,Molokai,HI,2026-06-30 11:07:16,ESP-32,ESP32 Dev Board,Microcontrollers,3,4.38,13.14,39.42,13.14,26.28,Makana,Government,Credit Card,454
HI092-TX-0008,HI092,Molokai Harbor,Molokai,HI,2026-06-30 08:03:39,DIO-4007,1N4007 Diode,Semiconductors,4,0.05,0.21,0.84,0.20,0.64,Keanu,Education,Mobile Pay,587
HI092-TX-0009,HI092,Molokai Harbor,Molokai,HI,2026-06-30 09:19:56,SOL-CTRL,Solar Charge Controller,Solar Power,1,10.28,31.52,31.52,10.28,21.24,Leilani,Retail,Mobile Pay,745
HI092-TX-0010,HI092,Molokai Harbor,Molokai,HI,2026-06-30 15:10:51,DIO-4007,1N4007 Diode,Semiconductors,4,0.05,0.19,0.76,0.20,0.56,Leilani,Commercial,ACH,578
HI092-TX-0011,HI092,Molokai Harbor,Molokai,HI,2026-06-30 15:39:45,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,8.70,28.02,196.14,60.90,135.24,Akamu,Retail,Credit Card,232
HI092-TX-0012,HI092,Molokai Harbor,Molokai,HI,2026-06-30 09:21:11,MAR-ANT,Marine Antenna Connector,Marine Electronics,1,4.05,14.39,14.39,4.05,10.34,Keahi,Marine,Mobile Pay,345
HI092-TX-0013,HI092,Molokai Harbor,Molokai,HI,2026-06-30 15:59:46,IC-REG,7805 Voltage Regulator,Integrated Circuits,10,0.21,0.95,9.50,2.10,7.40,Noelani,Retail,Credit Card,550
HI092-TX-0014,HI092,Molokai Harbor,Molokai,HI,2026-06-30 09:02:15,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,9.38,27.94,167.64,56.28,111.36,Mika,Marine,Purchase Order,71
HI092-TX-0015,HI092,Molokai Harbor,Molokai,HI,2026-06-30 12:41:06,IC-REG,7805 Voltage Regulator,Integrated Circuits,24,0.20,0.90,21.60,4.80,16.80,Koa,Maker/Hobbyist,Cash,223
HI092-TX-0016,HI092,Molokai Harbor,Molokai,HI,2026-06-30 12:45:51,CAP-100,100uF Capacitor,Capacitors,37,0.16,0.64,23.68,5.92,17.76,Pualani,Education,Cash,100
