transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI060-TX-0001,HI060,Hanalei,Kauai,HI,2026-06-30 12:46:41,SOL-CTRL,Solar Charge Controller,Solar Power,2,10.65,31.09,62.18,21.30,40.88,Ailani,Government,Debit Card,330
HI060-TX-0002,HI060,Hanalei,Kauai,HI,2026-06-30 14:06:45,TOOL-SOL,Soldering Iron Tips,Tools,8,2.07,7.23,57.84,16.56,41.28,Koa,Maker/Hobbyist,Credit Card,798
HI060-TX-0003,HI060,Hanalei,Kauai,HI,2026-06-30 14:25:18,PWR-12V,12V 5A Power Supply,Power,2,9.67,25.94,51.88,19.34,32.54,Kaleo,Tourism/Hospitality,Purchase Order,292
HI060-TX-0004,HI060,Hanalei,Kauai,HI,2026-06-30 10:24:39,PWR-BUCK,Buck Converter Module,Power,16,1.09,4.88,78.08,17.44,60.64,Kaleo,Marine,Cash,608
HI060-TX-0005,HI060,Hanalei,Kauai,HI,2026-06-30 16:05:17,ARD-NANO,Arduino Nano Compatible,Microcontrollers,6,4.72,13.55,81.30,28.32,52.98,Lani,Tourism/Hospitality,Cash,141
HI060-TX-0006,HI060,Hanalei,Kauai,HI,2026-06-30 13:57:03,CAP-010,10uF Capacitor,Capacitors,4,0.09,0.38,1.52,0.36,1.16,Nalu,Commercial,Purchase Order,560
HI060-TX-0007,HI060,Hanalei,Kauai,HI,2026-06-30 16:40:44,MAR-ANT,Marine Antenna Connector,Marine Electronics,4,4.08,14.50,58.00,16.32,41.68,Akamu,Tourism/Hospitality,ACH,273
HI060-TX-0008,HI060,Hanalei,Kauai,HI,2026-06-30 13:40:32,RES-010,10k Ohm Resistor,Resistors,39,0.03,0.13,5.07,1.17,3.90,Leilani,Maker/Hobbyist,Debit Card,557
HI060-TX-0009,HI060,Hanalei,Kauai,HI,2026-06-30 09:44:11,SOL-CTRL,Solar Charge Controller,Solar Power,8,10.40,34.01,272.08,83.20,188.88,Noelani,Education,Purchase Order,370
HI060-TX-0010,HI060,Hanalei,Kauai,HI,2026-06-30 11:32:59,SOL-CTRL,Solar Charge Controller,Solar Power,7,10.65,32.29,226.03,74.55,151.48,Alika,Government,Debit Card,631
HI060-TX-0011,HI060,Hanalei,Kauai,HI,2026-06-30 10:32:19,PWR-5V2,5V 2A Power Supply,Power,6,3.43,11.03,66.18,20.58,45.60,Ikaika,Tourism/Hospitality,Debit Card,834
HI060-TX-0012,HI060,Hanalei,Kauai,HI,2026-06-30 08:49:18,PWR-12V,12V 5A Power Supply,Power,3,9.41,26.62,79.86,28.23,51.63,Iolana,Retail,Cash,541
HI060-TX-0013,HI060,Hanalei,Kauai,HI,2026-06-30 13:34:42,SNS-ULT,Ultrasonic Distance Sensor,Sensors,18,1.24,5.54,99.72,22.32,77.40,Koa,Education,Debit Card,856
HI060-TX-0014,HI060,Hanalei,Kauai,HI,2026-06-30 13:21:43,IC-555,NE555 Timer IC,Integrated Circuits,38,0.37,1.36,51.68,14.06,37.62,Pualani,Marine,Debit Card,39
HI060-TX-0015,HI060,Hanalei,Kauai,HI,2026-06-30 12:39:43,SNS-ULT,Ultrasonic Distance Sensor,Sensors,26,1.35,5.48,142.48,35.10,107.38,Pualani,Education,Credit Card,887
