transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI001-TX-0001,HI001,Honolulu,Oahu,HI,2026-06-30 17:24:52,BAT-AAH,AA Battery Holder,Batteries,11,0.52,2.83,31.13,5.72,25.41,Keahi,Commercial,Purchase Order,751
HI001-TX-0002,HI001,Honolulu,Oahu,HI,2026-06-30 09:39:49,PWR-BUCK,Buck Converter Module,Power,21,1.05,4.74,99.54,22.05,77.49,Kai,Retail,Debit Card,368
HI001-TX-0003,HI001,Honolulu,Oahu,HI,2026-06-30 16:45:41,USB-CBO,USB-C Breakout Board,Connectors,23,1.46,5.13,117.99,33.58,84.41,Noelani,Maker/Hobbyist,Debit Card,228
HI001-TX-0004,HI001,Honolulu,Oahu,HI,2026-06-30 10:40:36,MOS-44N,IRFZ44N MOSFET,Semiconductors,34,0.58,2.54,86.36,19.72,66.64,Ailani,Marine,Debit Card,58
HI001-TX-0005,HI001,Honolulu,Oahu,HI,2026-06-30 08:02:58,TOOL-DMM,Digital Multimeter,Tools,2,9.23,28.60,57.20,18.46,38.74,Keahi,Commercial,Debit Card,896
HI001-TX-0006,HI001,Honolulu,Oahu,HI,2026-06-30 10:17:10,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,5,0.04,0.19,0.95,0.20,0.75,Hana,Retail,Cash,109
HI001-TX-0007,HI001,Honolulu,Oahu,HI,2026-06-30 10:58:50,SNS-PIR,PIR Motion Sensor,Sensors,4,1.54,5.89,23.56,6.16,17.40,Keanu,Retail,Cash,715
HI001-TX-0008,HI001,Honolulu,Oahu,HI,2026-06-30 13:46:19,PWR-5V2,5V 2A Power Supply,Power,6,3.41,10.38,62.28,20.46,41.82,Leilani,Education,Debit Card,502
HI001-TX-0009,HI001,Honolulu,Oahu,HI,2026-06-30 14:15:35,PICO-RP,Raspberry Pi Pico,Microcontrollers,3,3.22,9.10,27.30,9.66,17.64,Lani,Commercial,Mobile Pay,311
HI001-TX-0010,HI001,Honolulu,Oahu,HI,2026-06-30 11:59:03,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.57,7.14,49.98,17.99,31.99,Noelani,Maker/Hobbyist,Purchase Order,107
HI001-TX-0011,HI001,Honolulu,Oahu,HI,2026-06-30 08:00:51,ARD-UNO,Arduino Uno Compatible,Microcontrollers,7,8.23,20.98,146.86,57.61,89.25,Lani,Retail,ACH,136
HI001-TX-0012,HI001,Honolulu,Oahu,HI,2026-06-30 09:22:15,SNS-DHT,DHT22 Temperature Sensor,Sensors,1,2.46,7.30,7.30,2.46,4.84,Hana,Marine,Purchase Order,832
HI001-TX-0013,HI001,Honolulu,Oahu,HI,2026-06-30 12:05:41,TR-3904,2N3904 NPN Transistor,Semiconductors,39,0.06,0.23,8.97,2.34,6.63,Ailani,Marine,Credit Card,206
