transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI008-TX-0001,HI008,Kaneohe,Oahu,HI,2026-06-30 12:13:24,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.16,20.56,41.12,16.32,24.80,Leilani,Tourism/Hospitality,Mobile Pay,305
HI008-TX-0002,HI008,Kaneohe,Oahu,HI,2026-06-30 09:54:16,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.06,17.05,102.30,30.36,71.94,Noelani,Marine,Purchase Order,494
HI008-TX-0003,HI008,Kaneohe,Oahu,HI,2026-06-30 09:27:17,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.50,6.47,51.76,12.00,39.76,Kai,Maker/Hobbyist,Credit Card,702
HI008-TX-0004,HI008,Kaneohe,Oahu,HI,2026-06-30 16:50:47,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.52,21.37,64.11,25.56,38.55,Kaleo,Education,ACH,154
HI008-TX-0005,HI008,Kaneohe,Oahu,HI,2026-06-30 11:54:30,RES-001,1k Ohm Resistor,Resistors,19,0.03,0.13,2.47,0.57,1.90,Keahi,Education,Credit Card,812
HI008-TX-0006,HI008,Kaneohe,Oahu,HI,2026-06-30 08:43:33,ESP-32,ESP32 Dev Board,Microcontrollers,5,4.49,13.90,69.50,22.45,47.05,Keanu,Commercial,Mobile Pay,50
HI008-TX-0007,HI008,Kaneohe,Oahu,HI,2026-06-30 10:19:26,MOS-44N,IRFZ44N MOSFET,Semiconductors,40,0.64,2.33,93.20,25.60,67.60,Pualani,Government,Purchase Order,332
HI008-TX-0008,HI008,Kaneohe,Oahu,HI,2026-06-30 15:14:17,IC-555,NE555 Timer IC,Integrated Circuits,13,0.33,1.35,17.55,4.29,13.26,Keanu,Government,Mobile Pay,709
HI008-TX-0009,HI008,Kaneohe,Oahu,HI,2026-06-30 09:07:17,PWR-12V,12V 5A Power Supply,Power,5,9.65,24.99,124.95,48.25,76.70,Noah,Maker/Hobbyist,Debit Card,20
HI008-TX-0010,HI008,Kaneohe,Oahu,HI,2026-06-30 08:43:41,SNS-ULT,Ultrasonic Distance Sensor,Sensors,3,1.31,5.67,17.01,3.93,13.08,Nalu,Government,Mobile Pay,681
