transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI002-TX-0001,HI002,Waikiki,Oahu,HI,2026-06-30 14:28:46,USB-CBO,USB-C Breakout Board,Connectors,22,1.43,5.12,112.64,31.46,81.18,Makana,Commercial,Mobile Pay,837
HI002-TX-0002,HI002,Waikiki,Oahu,HI,2026-06-30 16:34:18,PWR-BUCK,Buck Converter Module,Power,27,1.05,5.18,139.86,28.35,111.51,Mika,Tourism/Hospitality,ACH,794
HI002-TX-0003,HI002,Waikiki,Oahu,HI,2026-06-30 12:33:27,SNS-DHT,DHT22 Temperature Sensor,Sensors,4,2.58,7.67,30.68,10.32,20.36,Keahi,Government,ACH,862
HI002-TX-0004,HI002,Waikiki,Oahu,HI,2026-06-30 15:10:36,BAT-LIPO,LiPo Battery Pack,Batteries,8,5.40,15.34,122.72,43.20,79.52,Alika,Tourism/Hospitality,ACH,668
HI002-TX-0005,HI002,Waikiki,Oahu,HI,2026-06-30 16:06:10,RES-220,220 Ohm Resistor,Resistors,4,0.03,0.13,0.52,0.12,0.40,Leilani,Commercial,Purchase Order,202
HI002-TX-0006,HI002,Waikiki,Oahu,HI,2026-06-30 17:06:28,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.31,13.31,79.86,25.86,54.00,Kai,Education,Debit Card,151
HI002-TX-0007,HI002,Waikiki,Oahu,HI,2026-06-30 11:55:56,ESP-32,ESP32 Dev Board,Microcontrollers,1,3.97,12.60,12.60,3.97,8.63,Mika,Maker/Hobbyist,Credit Card,688
HI002-TX-0008,HI002,Waikiki,Oahu,HI,2026-06-30 14:46:39,TOOL-SOL,Soldering Iron Tips,Tools,4,1.88,7.71,30.84,7.52,23.32,Hana,Retail,Credit Card,164
HI002-TX-0009,HI002,Waikiki,Oahu,HI,2026-06-30 17:27:32,BAT-AAH,AA Battery Holder,Batteries,10,0.48,2.62,26.20,4.80,21.40,Koa,Retail,Debit Card,820
HI002-TX-0010,HI002,Waikiki,Oahu,HI,2026-06-30 11:08:52,REL-5V,5V Relay Module,Relays,31,0.90,5.74,177.94,27.90,150.04,Noah,Tourism/Hospitality,Credit Card,361
HI002-TX-0011,HI002,Waikiki,Oahu,HI,2026-06-30 16:42:03,IC-358,LM358 Op Amp,Integrated Circuits,23,0.29,1.18,27.14,6.67,20.47,Ikaika,Education,Credit Card,303
HI002-TX-0012,HI002,Waikiki,Oahu,HI,2026-06-30 10:49:25,BRD-830,Breadboard 830 Tie Points,Connectors,8,1.49,6.37,50.96,11.92,39.04,Nalu,Retail,Purchase Order,644
HI002-TX-0013,HI002,Waikiki,Oahu,HI,2026-06-30 14:21:29,PICO-RP,Raspberry Pi Pico,Microcontrollers,2,3.25,8.70,17.40,6.50,10.90,Keanu,Marine,ACH,89
HI002-TX-0014,HI002,Waikiki,Oahu,HI,2026-06-30 12:50:33,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,7.91,21.49,64.47,23.73,40.74,Kai,Tourism/Hospitality,ACH,490
HI002-TX-0015,HI002,Waikiki,Oahu,HI,2026-06-30 09:20:13,BAT-AAH,AA Battery Holder,Batteries,22,0.47,2.82,62.04,10.34,51.70,Noelani,Education,Mobile Pay,753
HI002-TX-0016,HI002,Waikiki,Oahu,HI,2026-06-30 13:52:42,LED-RGB,RGB LED Strip,LEDs,8,5.02,14.36,114.88,40.16,74.72,Ailani,Education,ACH,495
HI002-TX-0017,HI002,Waikiki,Oahu,HI,2026-06-30 12:51:37,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,7.77,21.30,21.30,7.77,13.53,Kaleo,Tourism/Hospitality,Purchase Order,230
