transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI091-TX-0001,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 17:18:42,IC-REG,7805 Voltage Regulator,Integrated Circuits,10,0.19,0.90,9.00,1.90,7.10,Koa,Tourism/Hospitality,Purchase Order,546
HI091-TX-0002,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 16:57:58,PWR-12V,12V 5A Power Supply,Power,4,9.02,25.11,100.44,36.08,64.36,Mika,Retail,Mobile Pay,332
HI091-TX-0003,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 14:52:28,PWR-12V,12V 5A Power Supply,Power,6,8.76,26.30,157.80,52.56,105.24,Malia,Commercial,Credit Card,281
HI091-TX-0004,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 16:56:16,RES-010,10k Ohm Resistor,Resistors,12,0.03,0.13,1.56,0.36,1.20,Makana,Education,ACH,179
HI091-TX-0005,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 17:14:14,TR-3904,2N3904 NPN Transistor,Semiconductors,9,0.06,0.23,2.07,0.54,1.53,Ailani,Commercial,Purchase Order,826
HI091-TX-0006,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 10:57:26,PWR-BUCK,Buck Converter Module,Power,38,1.03,4.61,175.18,39.14,136.04,Koa,Education,Debit Card,408
HI091-TX-0007,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 08:05:45,SNS-DHT,DHT22 Temperature Sensor,Sensors,3,2.38,7.54,22.62,7.14,15.48,Ailani,Maker/Hobbyist,Credit Card,206
HI091-TX-0008,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 16:29:51,SNS-DHT,DHT22 Temperature Sensor,Sensors,5,2.46,7.60,38.00,12.30,25.70,Alika,Tourism/Hospitality,Mobile Pay,535
HI091-TX-0009,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 11:08:36,PWR-12V,12V 5A Power Supply,Power,3,9.72,26.61,79.83,29.16,50.67,Malia,Education,ACH,531
HI091-TX-0010,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 16:26:00,IC-358,LM358 Op Amp,Integrated Circuits,37,0.32,1.23,45.51,11.84,33.67,Malia,Marine,Debit Card,65
HI091-TX-0011,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 09:59:28,PWR-12V,12V 5A Power Supply,Power,1,8.87,25.95,25.95,8.87,17.08,Kaleo,Education,Credit Card,736
HI091-TX-0012,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 09:48:56,MAR-ANT,Marine Antenna Connector,Marine Electronics,1,3.63,14.64,14.64,3.63,11.01,Kai,Retail,Debit Card,207
HI091-TX-0013,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 15:55:34,IC-555,NE555 Timer IC,Integrated Circuits,26,0.34,1.32,34.32,8.84,25.48,Keahi,Government,ACH,195
HI091-TX-0014,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 15:25:04,LED-BLU,5mm Blue LED,LEDs,1,0.07,0.34,0.34,0.07,0.27,Ikaika,Retail,Debit Card,4
HI091-TX-0015,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 17:36:33,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,9.55,28.33,198.31,66.85,131.46,Noah,Education,ACH,154
HI091-TX-0016,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 12:18:56,TOOL-SOL,Soldering Iron Tips,Tools,1,2.00,7.52,7.52,2.00,5.52,Keahi,Education,Purchase Order,764
HI091-TX-0017,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 08:26:59,PWR-5V2,5V 2A Power Supply,Power,1,3.64,10.93,10.93,3.64,7.29,Keanu,Tourism/Hospitality,Debit Card,554
HI091-TX-0018,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 10:54:27,PWR-BUCK,Buck Converter Module,Power,7,1.07,5.21,36.47,7.49,28.98,Noelani,Tourism/Hospitality,Purchase Order,117
HI091-TX-0019,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 11:56:40,TOOL-SOL,Soldering Iron Tips,Tools,2,2.02,7.52,15.04,4.04,11.00,Leilani,Education,Purchase Order,566
HI091-TX-0020,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 11:08:45,IC-358,LM358 Op Amp,Integrated Circuits,17,0.31,1.21,20.57,5.27,15.30,Akamu,Tourism/Hospitality,Mobile Pay,776
HI091-TX-0021,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 12:56:58,ARD-NANO,Arduino Nano Compatible,Microcontrollers,7,4.39,14.47,101.29,30.73,70.56,Iolana,Government,Cash,133
HI091-TX-0022,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 11:45:07,IC-REG,7805 Voltage Regulator,Integrated Circuits,4,0.21,0.93,3.72,0.84,2.88,Kaleo,Education,Credit Card,179
HI091-TX-0023,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 09:19:33,MAR-ANT,Marine Antenna Connector,Marine Electronics,5,3.96,13.94,69.70,19.80,49.90,Noah,Maker/Hobbyist,Cash,50
HI091-TX-0024,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 16:18:42,LED-RGB,RGB LED Strip,LEDs,4,5.20,13.27,53.08,20.80,32.28,Noah,Retail,Purchase Order,92
HI091-TX-0025,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 15:31:53,PWR-BUCK,Buck Converter Module,Power,10,1.10,4.72,47.20,11.00,36.20,Noah,Retail,Cash,526
HI091-TX-0026,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 14:45:41,TOOL-DMM,Digital Multimeter,Tools,7,8.30,28.64,200.48,58.10,142.38,Keahi,Education,Mobile Pay,134
HI091-TX-0027,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 15:33:24,SOL-CTRL,Solar Charge Controller,Solar Power,4,10.47,32.78,131.12,41.88,89.24,Noelani,Marine,Credit Card,229
HI091-TX-0028,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 14:50:13,RES-001,1k Ohm Resistor,Resistors,25,0.03,0.14,3.50,0.75,2.75,Makana,Tourism/Hospitality,Cash,39
HI091-TX-0029,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 13:26:42,IC-358,LM358 Op Amp,Integrated Circuits,14,0.31,1.16,16.24,4.34,11.90,Pualani,Marine,Credit Card,19
HI091-TX-0030,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 14:23:42,PWR-BUCK,Buck Converter Module,Power,4,1.04,5.16,20.64,4.16,16.48,Akamu,Maker/Hobbyist,Debit Card,103
HI091-TX-0031,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 08:12:40,PWR-5V2,5V 2A Power Supply,Power,2,3.36,10.38,20.76,6.72,14.04,Leilani,Retail,Mobile Pay,365
HI091-TX-0032,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 14:57:34,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,8.57,28.23,169.38,51.42,117.96,Makana,Retail,Mobile Pay,848
HI091-TX-0033,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 09:41:56,MAR-TIN,Tinned Marine Wire,Marine Electronics,8,9.63,26.28,210.24,77.04,133.20,Nalu,Marine,Purchase Order,816
HI091-TX-0034,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 15:14:42,REL-5V,5V Relay Module,Relays,2,0.89,5.45,10.90,1.78,9.12,Noah,Marine,Cash,476
HI091-TX-0035,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 13:10:19,MAR-TIN,Tinned Marine Wire,Marine Electronics,8,9.61,27.07,216.56,76.88,139.68,Akamu,Commercial,Mobile Pay,153
HI091-TX-0036,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 17:03:32,SOL-CTRL,Solar Charge Controller,Solar Power,3,10.94,33.43,100.29,32.82,67.47,Malia,Retail,ACH,735
HI091-TX-0037,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 14:56:00,MAR-ANT,Marine Antenna Connector,Marine Electronics,2,3.76,14.77,29.54,7.52,22.02,Kai,Tourism/Hospitality,Purchase Order,232
HI091-TX-0038,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 12:42:34,IC-555,NE555 Timer IC,Integrated Circuits,32,0.36,1.31,41.92,11.52,30.40,Leilani,Commercial,Mobile Pay,660
HI091-TX-0039,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 08:46:28,MAR-TIN,Tinned Marine Wire,Marine Electronics,2,9.37,26.33,52.66,18.74,33.92,Ailani,Marine,Mobile Pay,426
HI091-TX-0040,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 13:30:21,IC-358,LM358 Op Amp,Integrated Circuits,32,0.32,1.26,40.32,10.24,30.08,Lani,Education,Mobile Pay,324
HI091-TX-0041,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 12:46:10,LED-RGB,RGB LED Strip,LEDs,3,5.16,15.03,45.09,15.48,29.61,Nalu,Tourism/Hospitality,ACH,682
HI091-TX-0042,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 17:55:51,SOL-CTRL,Solar Charge Controller,Solar Power,4,10.51,31.43,125.72,42.04,83.68,Keahi,Commercial,ACH,753
HI091-TX-0043,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 09:44:05,PWR-12V,12V 5A Power Supply,Power,7,9.32,23.74,166.18,65.24,100.94,Mika,Government,ACH,522
HI091-TX-0044,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 13:04:36,CAP-CER,0.1uF Ceramic Capacitor,Capacitors,34,0.04,0.20,6.80,1.36,5.44,Lani,Government,Cash,118
HI091-TX-0045,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 14:42:45,MAR-ANT,Marine Antenna Connector,Marine Electronics,6,4.01,14.64,87.84,24.06,63.78,Alika,Commercial,Cash,106
HI091-TX-0046,HI091,Kauai Tech Park,Kauai,HI,2026-06-30 17:18:20,PWR-12V,12V 5A Power Supply,Power,4,9.99,26.64,106.56,39.96,66.60,Hana,Government,Debit Card,464
