transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI024-TX-0001,HI024,Schofield,Oahu,HI,2026-06-30 12:59:33,IC-REG,7805 Voltage Regulator,Integrated Circuits,21,0.21,0.87,18.27,4.41,13.86,Mika,Tourism/Hospitality,Cash,227
HI024-TX-0002,HI024,Schofield,Oahu,HI,2026-06-30 14:19:12,CAP-100,100uF Capacitor,Capacitors,5,0.16,0.60,3.00,0.80,2.20,Kaleo,Commercial,Credit Card,358
HI024-TX-0003,HI024,Schofield,Oahu,HI,2026-06-30 12:44:15,TOOL-WIRE,Wire Stripper,Tools,4,4.70,15.08,60.32,18.80,41.52,Kaleo,Commercial,Purchase Order,594
HI024-TX-0004,HI024,Schofield,Oahu,HI,2026-06-30 14:09:15,BAT-LIPO,LiPo Battery Pack,Batteries,8,5.25,17.11,136.88,42.00,94.88,Noelani,Education,Mobile Pay,703
HI024-TX-0005,HI024,Schofield,Oahu,HI,2026-06-30 13:40:53,ESP-32,ESP32 Dev Board,Microcontrollers,4,4.17,13.61,54.44,16.68,37.76,Kaleo,Commercial,Mobile Pay,267
HI024-TX-0006,HI024,Schofield,Oahu,HI,2026-06-30 09:22:56,SNS-SOIL,Soil Moisture Sensor,Sensors,37,0.98,4.49,166.13,36.26,129.87,Iolana,Tourism/Hospitality,Debit Card,783
HI024-TX-0007,HI024,Schofield,Oahu,HI,2026-06-30 10:09:03,TR-3904,2N3904 NPN Transistor,Semiconductors,22,0.06,0.25,5.50,1.32,4.18,Koa,Tourism/Hospitality,Mobile Pay,178
HI024-TX-0008,HI024,Schofield,Oahu,HI,2026-06-30 17:52:26,CAP-100,100uF Capacitor,Capacitors,30,0.17,0.57,17.10,5.10,12.00,Makana,Education,Purchase Order,779
HI024-TX-0009,HI024,Schofield,Oahu,HI,2026-06-30 15:31:27,BAT-AAH,AA Battery Holder,Batteries,28,0.49,2.57,71.96,13.72,58.24,Malia,Tourism/Hospitality,Mobile Pay,165
HI024-TX-0010,HI024,Schofield,Oahu,HI,2026-06-30 12:07:11,SNS-SOIL,Soil Moisture Sensor,Sensors,3,0.96,4.59,13.77,2.88,10.89,Hana,Education,Debit Card,551
HI024-TX-0011,HI024,Schofield,Oahu,HI,2026-06-30 11:28:31,CON-JMP,Jumper Wire Set,Connectors,12,0.94,3.87,46.44,11.28,35.16,Kai,Education,Cash,608
HI024-TX-0012,HI024,Schofield,Oahu,HI,2026-06-30 08:29:18,PWR-12V,12V 5A Power Supply,Power,8,9.94,25.82,206.56,79.52,127.04,Lani,Commercial,Cash,52
HI024-TX-0013,HI024,Schofield,Oahu,HI,2026-06-30 09:49:35,ESP-32,ESP32 Dev Board,Microcontrollers,8,4.08,13.44,107.52,32.64,74.88,Ikaika,Marine,Purchase Order,614
HI024-TX-0014,HI024,Schofield,Oahu,HI,2026-06-30 16:41:30,BRD-830,Breadboard 830 Tie Points,Connectors,6,1.55,6.32,37.92,9.30,28.62,Hana,Tourism/Hospitality,Debit Card,11
HI024-TX-0015,HI024,Schofield,Oahu,HI,2026-06-30 15:07:52,RES-001,1k Ohm Resistor,Resistors,21,0.03,0.14,2.94,0.63,2.31,Kai,Marine,ACH,801
HI024-TX-0016,HI024,Schofield,Oahu,HI,2026-06-30 12:56:57,PWR-12V,12V 5A Power Supply,Power,8,9.89,24.41,195.28,79.12,116.16,Noah,Maker/Hobbyist,Credit Card,663
