transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI011-TX-0001,HI011,Ewa Beach,Oahu,HI,2026-06-30 16:30:19,LED-RGB,RGB LED Strip,LEDs,6,5.18,14.10,84.60,31.08,53.52,Mika,Marine,Purchase Order,513
HI011-TX-0002,HI011,Ewa Beach,Oahu,HI,2026-06-30 12:36:15,USB-CBO,USB-C Breakout Board,Connectors,12,1.35,5.31,63.72,16.20,47.52,Makana,Government,Cash,638
HI011-TX-0003,HI011,Ewa Beach,Oahu,HI,2026-06-30 10:02:15,IC-358,LM358 Op Amp,Integrated Circuits,25,0.33,1.25,31.25,8.25,23.00,Mika,Education,Mobile Pay,176
HI011-TX-0004,HI011,Ewa Beach,Oahu,HI,2026-06-30 16:24:36,IC-358,LM358 Op Amp,Integrated Circuits,36,0.32,1.22,43.92,11.52,32.40,Ikaika,Tourism/Hospitality,Cash,269
HI011-TX-0005,HI011,Ewa Beach,Oahu,HI,2026-06-30 13:00:51,SOL-CTRL,Solar Charge Controller,Solar Power,6,10.38,30.64,183.84,62.28,121.56,Pualani,Education,Mobile Pay,829
HI011-TX-0006,HI011,Ewa Beach,Oahu,HI,2026-06-30 10:37:04,IC-358,LM358 Op Amp,Integrated Circuits,27,0.31,1.16,31.32,8.37,22.95,Nalu,Maker/Hobbyist,Mobile Pay,364
HI011-TX-0007,HI011,Ewa Beach,Oahu,HI,2026-06-30 14:49:32,RES-010,10k Ohm Resistor,Resistors,6,0.04,0.13,0.78,0.24,0.54,Mika,Commercial,Credit Card,54
HI011-TX-0008,HI011,Ewa Beach,Oahu,HI,2026-06-30 09:06:35,PICO-RP,Raspberry Pi Pico,Microcontrollers,5,3.30,8.55,42.75,16.50,26.25,Ikaika,Retail,Mobile Pay,879
HI011-TX-0009,HI011,Ewa Beach,Oahu,HI,2026-06-30 13:35:34,ARD-UNO,Arduino Uno Compatible,Microcontrollers,6,8.07,22.88,137.28,48.42,88.86,Kai,Commercial,Purchase Order,396
HI011-TX-0010,HI011,Ewa Beach,Oahu,HI,2026-06-30 16:33:01,TR-3904,2N3904 NPN Transistor,Semiconductors,8,0.05,0.26,2.08,0.40,1.68,Lani,Government,ACH,832
HI011-TX-0011,HI011,Ewa Beach,Oahu,HI,2026-06-30 17:27:17,IC-358,LM358 Op Amp,Integrated Circuits,38,0.33,1.18,44.84,12.54,32.30,Noah,Commercial,Mobile Pay,301
HI011-TX-0012,HI011,Ewa Beach,Oahu,HI,2026-06-30 12:00:52,USB-CBO,USB-C Breakout Board,Connectors,15,1.37,5.58,83.70,20.55,63.15,Keanu,Retail,Debit Card,809
HI011-TX-0013,HI011,Ewa Beach,Oahu,HI,2026-06-30 17:25:37,MOS-44N,IRFZ44N MOSFET,Semiconductors,12,0.63,2.42,29.04,7.56,21.48,Nalu,Education,Cash,270
HI011-TX-0014,HI011,Ewa Beach,Oahu,HI,2026-06-30 16:47:48,SNS-ULT,Ultrasonic Distance Sensor,Sensors,30,1.27,5.23,156.90,38.10,118.80,Lani,Tourism/Hospitality,Mobile Pay,48
HI011-TX-0015,HI011,Ewa Beach,Oahu,HI,2026-06-30 13:15:16,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.80,21.73,65.19,26.40,38.79,Noah,Education,Credit Card,379
HI011-TX-0016,HI011,Ewa Beach,Oahu,HI,2026-06-30 12:29:28,PICO-RP,Raspberry Pi Pico,Microcontrollers,8,3.31,8.51,68.08,26.48,41.60,Noelani,Commercial,Credit Card,573
