transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI031-TX-0001,HI031,Kahului,Maui,HI,2026-06-30 13:06:42,MOS-44N,IRFZ44N MOSFET,Semiconductors,21,0.57,2.53,53.13,11.97,41.16,Noelani,Tourism/Hospitality,ACH,550
HI031-TX-0002,HI031,Kahului,Maui,HI,2026-06-30 08:55:39,BAT-LIPO,LiPo Battery Pack,Batteries,8,5.52,16.71,133.68,44.16,89.52,Keahi,Education,Debit Card,711
HI031-TX-0003,HI031,Kahului,Maui,HI,2026-06-30 17:49:19,BAT-AAH,AA Battery Holder,Batteries,29,0.49,2.63,76.27,14.21,62.06,Ikaika,Retail,Purchase Order,685
HI031-TX-0004,HI031,Kahului,Maui,HI,2026-06-30 17:57:11,PWR-BUCK,Buck Converter Module,Power,14,1.06,4.65,65.10,14.84,50.26,Koa,Education,Purchase Order,1
HI031-TX-0005,HI031,Kahului,Maui,HI,2026-06-30 09:08:26,PWR-BUCK,Buck Converter Module,Power,16,1.09,4.93,78.88,17.44,61.44,Malia,Government,Mobile Pay,814
HI031-TX-0006,HI031,Kahului,Maui,HI,2026-06-30 15:12:57,PWR-12V,12V 5A Power Supply,Power,4,9.19,25.17,100.68,36.76,63.92,Alika,Retail,ACH,191
HI031-TX-0007,HI031,Kahului,Maui,HI,2026-06-30 15:05:19,TOOL-WIRE,Wire Stripper,Tools,4,4.96,15.56,62.24,19.84,42.40,Keahi,Maker/Hobbyist,Debit Card,717
HI031-TX-0008,HI031,Kahului,Maui,HI,2026-06-30 11:32:30,BAT-AAH,AA Battery Holder,Batteries,34,0.51,2.68,91.12,17.34,73.78,Iolana,Maker/Hobbyist,Purchase Order,807
HI031-TX-0009,HI031,Kahului,Maui,HI,2026-06-30 17:52:52,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,9.09,27.79,83.37,27.27,56.10,Koa,Commercial,Debit Card,326
HI031-TX-0010,HI031,Kahului,Maui,HI,2026-06-30 09:22:33,LED-RGB,RGB LED Strip,LEDs,2,5.16,14.81,29.62,10.32,19.30,Mika,Retail,Credit Card,464
