transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI012-TX-0001,HI012,Haleiwa,Oahu,HI,2026-06-30 11:56:27,ESP-32,ESP32 Dev Board,Microcontrollers,7,4.32,13.25,92.75,30.24,62.51,Keahi,Government,Debit Card,880
HI012-TX-0002,HI012,Haleiwa,Oahu,HI,2026-06-30 16:02:55,SNS-DHT,DHT22 Temperature Sensor,Sensors,7,2.62,7.95,55.65,18.34,37.31,Keahi,Maker/Hobbyist,ACH,610
HI012-TX-0003,HI012,Haleiwa,Oahu,HI,2026-06-30 15:08:59,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,8.54,25.66,76.98,25.62,51.36,Iolana,Government,Mobile Pay,383
HI012-TX-0004,HI012,Haleiwa,Oahu,HI,2026-06-30 13:45:11,IC-555,NE555 Timer IC,Integrated Circuits,8,0.36,1.32,10.56,2.88,7.68,Koa,Tourism/Hospitality,Mobile Pay,349
HI012-TX-0005,HI012,Haleiwa,Oahu,HI,2026-06-30 16:21:18,ESP-32,ESP32 Dev Board,Microcontrollers,7,4.39,12.31,86.17,30.73,55.44,Kai,Government,Credit Card,123
HI012-TX-0006,HI012,Haleiwa,Oahu,HI,2026-06-30 13:01:34,MAR-ANT,Marine Antenna Connector,Marine Electronics,3,3.86,14.89,44.67,11.58,33.09,Lani,Maker/Hobbyist,Credit Card,576
HI012-TX-0007,HI012,Haleiwa,Oahu,HI,2026-06-30 15:25:12,RES-010,10k Ohm Resistor,Resistors,20,0.03,0.14,2.80,0.60,2.20,Keanu,Maker/Hobbyist,Mobile Pay,132
HI012-TX-0008,HI012,Haleiwa,Oahu,HI,2026-06-30 10:33:53,IC-REG,7805 Voltage Regulator,Integrated Circuits,12,0.19,0.94,11.28,2.28,9.00,Mika,Education,Mobile Pay,736
HI012-TX-0009,HI012,Haleiwa,Oahu,HI,2026-06-30 12:39:26,RES-001,1k Ohm Resistor,Resistors,21,0.03,0.13,2.73,0.63,2.10,Makana,Education,Cash,265
HI012-TX-0010,HI012,Haleiwa,Oahu,HI,2026-06-30 12:27:45,IC-358,LM358 Op Amp,Integrated Circuits,37,0.30,1.20,44.40,11.10,33.30,Noelani,Commercial,Mobile Pay,746
HI012-TX-0011,HI012,Haleiwa,Oahu,HI,2026-06-30 17:33:41,RES-010,10k Ohm Resistor,Resistors,13,0.03,0.13,1.69,0.39,1.30,Malia,Government,Debit Card,410
HI012-TX-0012,HI012,Haleiwa,Oahu,HI,2026-06-30 16:21:44,BAT-LIPO,LiPo Battery Pack,Batteries,3,5.40,16.65,49.95,16.20,33.75,Keahi,Retail,Purchase Order,26
HI012-TX-0013,HI012,Haleiwa,Oahu,HI,2026-06-30 09:49:09,BAT-LIPO,LiPo Battery Pack,Batteries,7,5.35,17.11,119.77,37.45,82.32,Hana,Marine,Cash,53
HI012-TX-0014,HI012,Haleiwa,Oahu,HI,2026-06-30 09:36:30,ESP-32,ESP32 Dev Board,Microcontrollers,8,4.08,12.81,102.48,32.64,69.84,Keahi,Education,Mobile Pay,267
HI012-TX-0015,HI012,Haleiwa,Oahu,HI,2026-06-30 14:25:12,IC-REG,7805 Voltage Regulator,Integrated Circuits,38,0.21,0.93,35.34,7.98,27.36,Keahi,Education,Mobile Pay,387
HI012-TX-0016,HI012,Haleiwa,Oahu,HI,2026-06-30 09:37:57,CAP-010,10uF Capacitor,Capacitors,1,0.08,0.38,0.38,0.08,0.30,Kaleo,Marine,Cash,676
HI012-TX-0017,HI012,Haleiwa,Oahu,HI,2026-06-30 17:11:43,SNS-SOIL,Soil Moisture Sensor,Sensors,2,0.88,4.36,8.72,1.76,6.96,Akamu,Retail,Cash,309
HI012-TX-0018,HI012,Haleiwa,Oahu,HI,2026-06-30 12:48:25,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.73,14.76,73.80,23.65,50.15,Kaleo,Government,Mobile Pay,606
HI012-TX-0019,HI012,Haleiwa,Oahu,HI,2026-06-30 12:42:13,ARD-UNO,Arduino Uno Compatible,Microcontrollers,4,8.29,23.00,92.00,33.16,58.84,Keanu,Government,Purchase Order,336
