transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI096-TX-0001,HI096,Maui Tech Center,Maui,HI,2026-06-30 11:23:02,PWR-BUCK,Buck Converter Module,Power,6,1.06,5.15,30.90,6.36,24.54,Mika,Maker/Hobbyist,Purchase Order,204
HI096-TX-0002,HI096,Maui Tech Center,Maui,HI,2026-06-30 16:02:02,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.13,12.73,76.38,24.78,51.60,Noah,Retail,Debit Card,707
HI096-TX-0003,HI096,Maui Tech Center,Maui,HI,2026-06-30 11:54:05,LED-RGB,RGB LED Strip,LEDs,4,4.70,14.47,57.88,18.80,39.08,Leilani,Maker/Hobbyist,Debit Card,278
HI096-TX-0004,HI096,Maui Tech Center,Maui,HI,2026-06-30 17:29:13,SNS-PIR,PIR Motion Sensor,Sensors,2,1.50,6.06,12.12,3.00,9.12,Pualani,Government,Purchase Order,583
HI096-TX-0005,HI096,Maui Tech Center,Maui,HI,2026-06-30 17:38:52,PWR-5V2,5V 2A Power Supply,Power,4,3.79,10.95,43.80,15.16,28.64,Iolana,Government,ACH,630
HI096-TX-0006,HI096,Maui Tech Center,Maui,HI,2026-06-30 17:38:54,IC-REG,7805 Voltage Regulator,Integrated Circuits,18,0.20,0.91,16.38,3.60,12.78,Lani,Government,Cash,55
HI096-TX-0007,HI096,Maui Tech Center,Maui,HI,2026-06-30 15:54:51,CAP-100,100uF Capacitor,Capacitors,4,0.15,0.59,2.36,0.60,1.76,Makana,Commercial,Debit Card,356
HI096-TX-0008,HI096,Maui Tech Center,Maui,HI,2026-06-30 12:32:45,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.66,17.28,103.68,33.96,69.72,Alika,Tourism/Hospitality,Cash,443
HI096-TX-0009,HI096,Maui Tech Center,Maui,HI,2026-06-30 08:31:29,TR-3904,2N3904 NPN Transistor,Semiconductors,32,0.05,0.24,7.68,1.60,6.08,Mika,Commercial,Purchase Order,207
HI096-TX-0010,HI096,Maui Tech Center,Maui,HI,2026-06-30 10:13:39,LED-BLU,5mm Blue LED,LEDs,4,0.06,0.31,1.24,0.24,1.00,Akamu,Tourism/Hospitality,Credit Card,860
HI096-TX-0011,HI096,Maui Tech Center,Maui,HI,2026-06-30 16:33:36,SNS-DHT,DHT22 Temperature Sensor,Sensors,4,2.54,7.95,31.80,10.16,21.64,Kaleo,Education,Purchase Order,852
HI096-TX-0012,HI096,Maui Tech Center,Maui,HI,2026-06-30 08:50:27,ESP-32,ESP32 Dev Board,Microcontrollers,1,4.28,12.66,12.66,4.28,8.38,Malia,Marine,ACH,707
HI096-TX-0013,HI096,Maui Tech Center,Maui,HI,2026-06-30 16:06:21,PWR-BUCK,Buck Converter Module,Power,24,1.02,4.64,111.36,24.48,86.88,Noelani,Marine,Purchase Order,844
HI096-TX-0014,HI096,Maui Tech Center,Maui,HI,2026-06-30 15:24:36,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,8.22,22.17,22.17,8.22,13.95,Iolana,Marine,Credit Card,841
HI096-TX-0015,HI096,Maui Tech Center,Maui,HI,2026-06-30 14:18:03,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.11,16.11,96.66,30.66,66.00,Hana,Government,Purchase Order,237
HI096-TX-0016,HI096,Maui Tech Center,Maui,HI,2026-06-30 12:09:36,TOOL-DMM,Digital Multimeter,Tools,1,9.17,26.65,26.65,9.17,17.48,Kai,Maker/Hobbyist,Debit Card,578
HI096-TX-0017,HI096,Maui Tech Center,Maui,HI,2026-06-30 08:32:20,TR-3904,2N3904 NPN Transistor,Semiconductors,1,0.06,0.24,0.24,0.06,0.18,Ailani,Commercial,ACH,61
HI096-TX-0018,HI096,Maui Tech Center,Maui,HI,2026-06-30 10:52:51,BAT-LIPO,LiPo Battery Pack,Batteries,1,5.08,16.76,16.76,5.08,11.68,Ikaika,Education,ACH,174
HI096-TX-0019,HI096,Maui Tech Center,Maui,HI,2026-06-30 11:35:00,CAP-100,100uF Capacitor,Capacitors,17,0.17,0.60,10.20,2.89,7.31,Hana,Commercial,ACH,162
HI096-TX-0020,HI096,Maui Tech Center,Maui,HI,2026-06-30 08:22:46,CAP-010,10uF Capacitor,Capacitors,34,0.09,0.37,12.58,3.06,9.52,Keahi,Tourism/Hospitality,Cash,601
HI096-TX-0021,HI096,Maui Tech Center,Maui,HI,2026-06-30 16:47:13,PWR-5V2,5V 2A Power Supply,Power,1,3.59,10.20,10.20,3.59,6.61,Malia,Commercial,Purchase Order,176
HI096-TX-0022,HI096,Maui Tech Center,Maui,HI,2026-06-30 15:24:38,MOS-44N,IRFZ44N MOSFET,Semiconductors,26,0.61,2.39,62.14,15.86,46.28,Iolana,Maker/Hobbyist,Credit Card,661
HI096-TX-0023,HI096,Maui Tech Center,Maui,HI,2026-06-30 08:16:27,BAT-LIPO,LiPo Battery Pack,Batteries,2,4.96,15.31,30.62,9.92,20.70,Kaleo,Maker/Hobbyist,Mobile Pay,746
HI096-TX-0024,HI096,Maui Tech Center,Maui,HI,2026-06-30 09:24:59,SNS-PIR,PIR Motion Sensor,Sensors,2,1.50,5.84,11.68,3.00,8.68,Alika,Education,Debit Card,60
HI096-TX-0025,HI096,Maui Tech Center,Maui,HI,2026-06-30 13:00:52,CAP-010,10uF Capacitor,Capacitors,38,0.09,0.38,14.44,3.42,11.02,Keahi,Education,Cash,198
HI096-TX-0026,HI096,Maui Tech Center,Maui,HI,2026-06-30 17:42:45,CAP-010,10uF Capacitor,Capacitors,40,0.09,0.37,14.80,3.60,11.20,Mika,Maker/Hobbyist,Debit Card,696
HI096-TX-0027,HI096,Maui Tech Center,Maui,HI,2026-06-30 09:36:29,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.49,12.58,25.16,8.98,16.18,Kaleo,Retail,Credit Card,694
HI096-TX-0028,HI096,Maui Tech Center,Maui,HI,2026-06-30 08:53:15,TOOL-SOL,Soldering Iron Tips,Tools,5,2.06,7.76,38.80,10.30,28.50,Kai,Government,Cash,737
HI096-TX-0029,HI096,Maui Tech Center,Maui,HI,2026-06-30 17:29:23,LED-RGB,RGB LED Strip,LEDs,8,4.97,14.44,115.52,39.76,75.76,Malia,Commercial,Credit Card,238
HI096-TX-0030,HI096,Maui Tech Center,Maui,HI,2026-06-30 09:31:19,BAT-AAH,AA Battery Holder,Batteries,32,0.50,2.75,88.00,16.00,72.00,Makana,Retail,Cash,669
HI096-TX-0031,HI096,Maui Tech Center,Maui,HI,2026-06-30 13:46:38,PWR-12V,12V 5A Power Supply,Power,8,9.29,23.91,191.28,74.32,116.96,Iolana,Education,ACH,516
