transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI090-TX-0001,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 08:41:01,USB-CBO,USB-C Breakout Board,Connectors,20,1.29,5.66,113.20,25.80,87.40,Kai,Retail,ACH,227
HI090-TX-0002,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 13:07:45,PWR-5V2,5V 2A Power Supply,Power,7,3.47,11.43,80.01,24.29,55.72,Mika,Maker/Hobbyist,Debit Card,332
HI090-TX-0003,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 13:43:15,SNS-DHT,DHT22 Temperature Sensor,Sensors,5,2.39,7.47,37.35,11.95,25.40,Keahi,Commercial,Mobile Pay,412
HI090-TX-0004,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 08:54:04,SNS-SOIL,Soil Moisture Sensor,Sensors,6,0.98,4.38,26.28,5.88,20.40,Alika,Tourism/Hospitality,Purchase Order,329
HI090-TX-0005,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 10:20:27,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.90,13.87,69.35,24.50,44.85,Hana,Commercial,Debit Card,810
HI090-TX-0006,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 08:05:10,LED-RGB,RGB LED Strip,LEDs,6,5.11,14.79,88.74,30.66,58.08,Kai,Tourism/Hospitality,Debit Card,723
HI090-TX-0007,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 14:58:49,SOL-CTRL,Solar Charge Controller,Solar Power,6,10.14,34.56,207.36,60.84,146.52,Makana,Maker/Hobbyist,Debit Card,381
HI090-TX-0008,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 14:05:55,SNS-DHT,DHT22 Temperature Sensor,Sensors,5,2.39,7.27,36.35,11.95,24.40,Nalu,Tourism/Hospitality,Cash,281
HI090-TX-0009,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 16:35:31,SNS-SOIL,Soil Moisture Sensor,Sensors,9,0.89,4.50,40.50,8.01,32.49,Nalu,Education,Mobile Pay,845
HI090-TX-0010,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 09:51:36,SNS-SOIL,Soil Moisture Sensor,Sensors,10,0.92,4.22,42.20,9.20,33.00,Noah,Tourism/Hospitality,Credit Card,540
HI090-TX-0011,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 12:02:16,TR-3904,2N3904 NPN Transistor,Semiconductors,7,0.06,0.25,1.75,0.42,1.33,Makana,Marine,Debit Card,824
HI090-TX-0012,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 09:03:09,LED-BLU,5mm Blue LED,LEDs,18,0.06,0.32,5.76,1.08,4.68,Lani,Government,ACH,119
HI090-TX-0013,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 11:20:30,SNS-DHT,DHT22 Temperature Sensor,Sensors,2,2.62,8.10,16.20,5.24,10.96,Pualani,Marine,Cash,339
HI090-TX-0014,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 11:49:28,ESP-32,ESP32 Dev Board,Microcontrollers,8,4.47,12.52,100.16,35.76,64.40,Mika,Maker/Hobbyist,ACH,279
HI090-TX-0015,HI090,Hilo Bayfront,Hawaii Island,HI,2026-06-30 15:38:01,SNS-PIR,PIR Motion Sensor,Sensors,3,1.55,6.19,18.57,4.65,13.92,Leilani,Education,Cash,630
