transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI098-TX-0001,HI098,Kauai Harbor,Kauai,HI,2026-06-30 17:22:23,TR-3904,2N3904 NPN Transistor,Semiconductors,26,0.06,0.25,6.50,1.56,4.94,Malia,Maker/Hobbyist,Purchase Order,84
HI098-TX-0002,HI098,Kauai Harbor,Kauai,HI,2026-06-30 13:28:56,PWR-5V2,5V 2A Power Supply,Power,7,3.35,10.98,76.86,23.45,53.41,Pualani,Maker/Hobbyist,Mobile Pay,614
HI098-TX-0003,HI098,Kauai Harbor,Kauai,HI,2026-06-30 13:05:33,MAR-TIN,Tinned Marine Wire,Marine Electronics,6,9.13,28.52,171.12,54.78,116.34,Mika,Marine,Cash,768
HI098-TX-0004,HI098,Kauai Harbor,Kauai,HI,2026-06-30 17:57:42,ARD-NANO,Arduino Nano Compatible,Microcontrollers,5,4.47,13.89,69.45,22.35,47.10,Malia,Marine,Purchase Order,221
HI098-TX-0005,HI098,Kauai Harbor,Kauai,HI,2026-06-30 08:52:01,PWR-12V,12V 5A Power Supply,Power,4,9.96,24.74,98.96,39.84,59.12,Leilani,Commercial,Credit Card,176
HI098-TX-0006,HI098,Kauai Harbor,Kauai,HI,2026-06-30 17:08:19,TOOL-DMM,Digital Multimeter,Tools,6,8.51,25.89,155.34,51.06,104.28,Nalu,Retail,Mobile Pay,272
HI098-TX-0007,HI098,Kauai Harbor,Kauai,HI,2026-06-30 13:26:57,REL-5V,5V Relay Module,Relays,29,0.94,5.64,163.56,27.26,136.30,Malia,Marine,Mobile Pay,746
HI098-TX-0008,HI098,Kauai Harbor,Kauai,HI,2026-06-30 08:45:50,SNS-PIR,PIR Motion Sensor,Sensors,7,1.51,6.05,42.35,10.57,31.78,Alika,Tourism/Hospitality,Credit Card,146
HI098-TX-0009,HI098,Kauai Harbor,Kauai,HI,2026-06-30 12:33:13,CON-JMP,Jumper Wire Set,Connectors,21,0.95,3.66,76.86,19.95,56.91,Iolana,Maker/Hobbyist,Mobile Pay,451
HI098-TX-0010,HI098,Kauai Harbor,Kauai,HI,2026-06-30 13:52:05,SOL-CTRL,Solar Charge Controller,Solar Power,8,10.83,31.43,251.44,86.64,164.80,Ailani,Education,Purchase Order,817
HI098-TX-0011,HI098,Kauai Harbor,Kauai,HI,2026-06-30 13:57:48,CON-JMP,Jumper Wire Set,Connectors,6,0.97,3.86,23.16,5.82,17.34,Malia,Retail,ACH,674
HI098-TX-0012,HI098,Kauai Harbor,Kauai,HI,2026-06-30 11:01:12,SNS-PIR,PIR Motion Sensor,Sensors,2,1.51,6.07,12.14,3.02,9.12,Hana,Tourism/Hospitality,Cash,508
HI098-TX-0013,HI098,Kauai Harbor,Kauai,HI,2026-06-30 11:46:11,PWR-5V2,5V 2A Power Supply,Power,6,3.41,10.32,61.92,20.46,41.46,Alika,Education,Cash,466
HI098-TX-0014,HI098,Kauai Harbor,Kauai,HI,2026-06-30 16:19:18,TOOL-DMM,Digital Multimeter,Tools,5,8.90,28.59,142.95,44.50,98.45,Malia,Tourism/Hospitality,Debit Card,407
HI098-TX-0015,HI098,Kauai Harbor,Kauai,HI,2026-06-30 14:08:02,IC-555,NE555 Timer IC,Integrated Circuits,33,0.37,1.34,44.22,12.21,32.01,Noelani,Maker/Hobbyist,Debit Card,63
HI098-TX-0016,HI098,Kauai Harbor,Kauai,HI,2026-06-30 09:27:25,PWR-12V,12V 5A Power Supply,Power,5,9.78,26.49,132.45,48.90,83.55,Lani,Government,Debit Card,650
HI098-TX-0017,HI098,Kauai Harbor,Kauai,HI,2026-06-30 14:41:40,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,8.70,27.72,138.60,43.50,95.10,Keahi,Government,Purchase Order,221
