transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI034-TX-0001,HI034,Kihei,Maui,HI,2026-06-30 15:36:37,BAT-AAH,AA Battery Holder,Batteries,23,0.53,2.54,58.42,12.19,46.23,Makana,Education,Credit Card,177
HI034-TX-0002,HI034,Kihei,Maui,HI,2026-06-30 10:42:24,SNS-SOIL,Soil Moisture Sensor,Sensors,32,0.88,4.29,137.28,28.16,109.12,Ikaika,Retail,Purchase Order,48
HI034-TX-0003,HI034,Kihei,Maui,HI,2026-06-30 16:00:43,BAT-AAH,AA Battery Holder,Batteries,30,0.50,2.78,83.40,15.00,68.40,Kaleo,Government,ACH,310
HI034-TX-0004,HI034,Kihei,Maui,HI,2026-06-30 15:32:29,BAT-AAH,AA Battery Holder,Batteries,21,0.49,2.60,54.60,10.29,44.31,Leilani,Retail,Debit Card,779
HI034-TX-0005,HI034,Kihei,Maui,HI,2026-06-30 16:20:16,TOOL-DMM,Digital Multimeter,Tools,2,9.37,27.73,55.46,18.74,36.72,Kai,Education,Cash,810
HI034-TX-0006,HI034,Kihei,Maui,HI,2026-06-30 13:09:57,PWR-12V,12V 5A Power Supply,Power,3,9.98,26.25,78.75,29.94,48.81,Koa,Maker/Hobbyist,ACH,78
HI034-TX-0007,HI034,Kihei,Maui,HI,2026-06-30 10:12:17,LED-RGB,RGB LED Strip,LEDs,7,4.90,13.64,95.48,34.30,61.18,Lani,Marine,ACH,117
HI034-TX-0008,HI034,Kihei,Maui,HI,2026-06-30 12:46:59,PWR-5V2,5V 2A Power Supply,Power,2,3.55,11.26,22.52,7.10,15.42,Kaleo,Maker/Hobbyist,Purchase Order,268
HI034-TX-0009,HI034,Kihei,Maui,HI,2026-06-30 14:07:34,LED-BLU,5mm Blue LED,LEDs,39,0.07,0.33,12.87,2.73,10.14,Noelani,Commercial,Cash,736
HI034-TX-0010,HI034,Kihei,Maui,HI,2026-06-30 17:01:19,PICO-RP,Raspberry Pi Pico,Microcontrollers,5,3.46,8.44,42.20,17.30,24.90,Kai,Retail,Cash,60
HI034-TX-0011,HI034,Kihei,Maui,HI,2026-06-30 15:52:43,PWR-12V,12V 5A Power Supply,Power,4,9.23,25.10,100.40,36.92,63.48,Kaleo,Government,Cash,306
HI034-TX-0012,HI034,Kihei,Maui,HI,2026-06-30 17:53:38,ESP-32,ESP32 Dev Board,Microcontrollers,6,4.52,13.32,79.92,27.12,52.80,Mika,Commercial,Debit Card,701
HI034-TX-0013,HI034,Kihei,Maui,HI,2026-06-30 15:50:11,IC-REG,7805 Voltage Regulator,Integrated Circuits,5,0.19,0.92,4.60,0.95,3.65,Ailani,Marine,Mobile Pay,648
HI034-TX-0014,HI034,Kihei,Maui,HI,2026-06-30 09:13:34,PWR-12V,12V 5A Power Supply,Power,8,9.94,24.50,196.00,79.52,116.48,Makana,Government,Purchase Order,142
HI034-TX-0015,HI034,Kihei,Maui,HI,2026-06-30 14:28:15,IC-555,NE555 Timer IC,Integrated Circuits,35,0.34,1.43,50.05,11.90,38.15,Makana,Marine,Mobile Pay,99
HI034-TX-0016,HI034,Kihei,Maui,HI,2026-06-30 09:07:17,SOL-CTRL,Solar Charge Controller,Solar Power,8,11.28,33.27,266.16,90.24,175.92,Noelani,Government,Purchase Order,831
HI034-TX-0017,HI034,Kihei,Maui,HI,2026-06-30 09:33:01,BAT-LIPO,LiPo Battery Pack,Batteries,8,5.47,15.29,122.32,43.76,78.56,Noelani,Tourism/Hospitality,ACH,369
HI034-TX-0018,HI034,Kihei,Maui,HI,2026-06-30 17:21:10,BAT-AAH,AA Battery Holder,Batteries,6,0.52,2.69,16.14,3.12,13.02,Koa,Marine,Debit Card,36
HI034-TX-0019,HI034,Kihei,Maui,HI,2026-06-30 10:50:03,BAT-LIPO,LiPo Battery Pack,Batteries,8,5.01,15.50,124.00,40.08,83.92,Koa,Government,Mobile Pay,137
HI034-TX-0020,HI034,Kihei,Maui,HI,2026-06-30 09:33:20,LED-RGB,RGB LED Strip,LEDs,2,4.92,14.99,29.98,9.84,20.14,Alika,Education,Mobile Pay,202
HI034-TX-0021,HI034,Kihei,Maui,HI,2026-06-30 08:41:10,BAT-AAH,AA Battery Holder,Batteries,17,0.48,2.65,45.05,8.16,36.89,Nalu,Maker/Hobbyist,Purchase Order,773
HI034-TX-0022,HI034,Kihei,Maui,HI,2026-06-30 17:12:59,BAT-AAH,AA Battery Holder,Batteries,11,0.47,2.78,30.58,5.17,25.41,Nalu,Retail,Purchase Order,345
HI034-TX-0023,HI034,Kihei,Maui,HI,2026-06-30 14:28:15,BRD-830,Breadboard 830 Tie Points,Connectors,1,1.55,6.73,6.73,1.55,5.18,Kai,Retail,Credit Card,205
HI034-TX-0024,HI034,Kihei,Maui,HI,2026-06-30 16:09:20,MAR-TIN,Tinned Marine Wire,Marine Electronics,7,9.52,26.56,185.92,66.64,119.28,Nalu,Commercial,Debit Card,17
HI034-TX-0025,HI034,Kihei,Maui,HI,2026-06-30 13:09:55,TOOL-DMM,Digital Multimeter,Tools,7,8.73,26.61,186.27,61.11,125.16,Alika,Government,Purchase Order,38
HI034-TX-0026,HI034,Kihei,Maui,HI,2026-06-30 08:46:13,TOOL-DMM,Digital Multimeter,Tools,3,8.25,28.61,85.83,24.75,61.08,Noah,Government,Cash,293
HI034-TX-0027,HI034,Kihei,Maui,HI,2026-06-30 13:51:04,ESP-32,ESP32 Dev Board,Microcontrollers,2,4.05,13.62,27.24,8.10,19.14,Lani,Tourism/Hospitality,Credit Card,471
HI034-TX-0028,HI034,Kihei,Maui,HI,2026-06-30 12:59:24,PWR-BUCK,Buck Converter Module,Power,30,0.99,5.16,154.80,29.70,125.10,Lani,Marine,Credit Card,79
HI034-TX-0029,HI034,Kihei,Maui,HI,2026-06-30 15:46:30,TOOL-WIRE,Wire Stripper,Tools,3,5.31,15.39,46.17,15.93,30.24,Hana,Education,Mobile Pay,3
HI034-TX-0030,HI034,Kihei,Maui,HI,2026-06-30 10:29:35,LED-RGB,RGB LED Strip,LEDs,6,4.64,14.27,85.62,27.84,57.78,Nalu,Marine,Purchase Order,676
HI034-TX-0031,HI034,Kihei,Maui,HI,2026-06-30 17:07:29,LED-RGB,RGB LED Strip,LEDs,8,4.66,14.95,119.60,37.28,82.32,Nalu,Maker/Hobbyist,Debit Card,20
