transaction_id,branch_id,city,island,state,timestamp,sku,product_description,category,quantity,unit_cost,unit_price,revenue,cost,gross_margin,salesperson,customer_type,payment_method,inventory_remaining
HI003-TX-0001,HI003,Pearl City,Oahu,HI,2026-06-30 14:46:17,SNS-ULT,Ultrasonic Distance Sensor,Sensors,23,1.28,5.29,121.67,29.44,92.23,Kai,Tourism/Hospitality,Debit Card,60
HI003-TX-0002,HI003,Pearl City,Oahu,HI,2026-06-30 10:28:45,IC-555,NE555 Timer IC,Integrated Circuits,34,0.36,1.32,44.88,12.24,32.64,Noah,Commercial,Credit Card,787
HI003-TX-0003,HI003,Pearl City,Oahu,HI,2026-06-30 09:00:38,BAT-AAH,AA Battery Holder,Batteries,11,0.49,2.75,30.25,5.39,24.86,Noah,Maker/Hobbyist,Credit Card,268
HI003-TX-0004,HI003,Pearl City,Oahu,HI,2026-06-30 15:32:25,TR-3904,2N3904 NPN Transistor,Semiconductors,13,0.06,0.24,3.12,0.78,2.34,Pualani,Government,Purchase Order,541
HI003-TX-0005,HI003,Pearl City,Oahu,HI,2026-06-30 17:19:48,IC-555,NE555 Timer IC,Integrated Circuits,24,0.35,1.31,31.44,8.40,23.04,Noah,Commercial,Credit Card,642
HI003-TX-0006,HI003,Pearl City,Oahu,HI,2026-06-30 09:06:17,CON-JMP,Jumper Wire Set,Connectors,24,0.99,3.65,87.60,23.76,63.84,Pualani,Education,ACH,395
HI003-TX-0007,HI003,Pearl City,Oahu,HI,2026-06-30 12:02:25,PWR-5V2,5V 2A Power Supply,Power,7,3.74,11.34,79.38,26.18,53.20,Noelani,Marine,Debit Card,368
HI003-TX-0008,HI003,Pearl City,Oahu,HI,2026-06-30 16:30:21,BAT-LIPO,LiPo Battery Pack,Batteries,6,5.39,15.94,95.64,32.34,63.30,Keanu,Marine,Debit Card,73
HI003-TX-0009,HI003,Pearl City,Oahu,HI,2026-06-30 15:46:06,TOOL-DMM,Digital Multimeter,Tools,4,9.10,28.62,114.48,36.40,78.08,Makana,Maker/Hobbyist,Cash,6
HI003-TX-0010,HI003,Pearl City,Oahu,HI,2026-06-30 11:51:02,PWR-BUCK,Buck Converter Module,Power,17,1.08,5.10,86.70,18.36,68.34,Iolana,Commercial,Debit Card,595
HI003-TX-0011,HI003,Pearl City,Oahu,HI,2026-06-30 09:05:12,REL-5V,5V Relay Module,Relays,24,0.90,5.15,123.60,21.60,102.00,Koa,Education,Mobile Pay,323
HI003-TX-0012,HI003,Pearl City,Oahu,HI,2026-06-30 17:45:49,CON-JMP,Jumper Wire Set,Connectors,35,0.91,3.75,131.25,31.85,99.40,Keanu,Maker/Hobbyist,Credit Card,297
HI003-TX-0013,HI003,Pearl City,Oahu,HI,2026-06-30 08:01:50,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.31,22.51,67.53,24.93,42.60,Kai,Education,ACH,772
HI003-TX-0014,HI003,Pearl City,Oahu,HI,2026-06-30 10:44:13,MOS-44N,IRFZ44N MOSFET,Semiconductors,11,0.64,2.56,28.16,7.04,21.12,Makana,Tourism/Hospitality,Cash,719
HI003-TX-0015,HI003,Pearl City,Oahu,HI,2026-06-30 17:11:47,IC-358,LM358 Op Amp,Integrated Circuits,27,0.31,1.19,32.13,8.37,23.76,Malia,Government,Mobile Pay,700
HI003-TX-0016,HI003,Pearl City,Oahu,HI,2026-06-30 13:07:27,BRD-830,Breadboard 830 Tie Points,Connectors,1,1.63,6.73,6.73,1.63,5.10,Koa,Education,Purchase Order,144
HI003-TX-0017,HI003,Pearl City,Oahu,HI,2026-06-30 17:08:38,PICO-RP,Raspberry Pi Pico,Microcontrollers,1,3.42,8.98,8.98,3.42,5.56,Lani,Government,ACH,618
HI003-TX-0018,HI003,Pearl City,Oahu,HI,2026-06-30 08:50:42,ARD-UNO,Arduino Uno Compatible,Microcontrollers,5,8.11,21.23,106.15,40.55,65.60,Kai,Marine,Cash,365
HI003-TX-0019,HI003,Pearl City,Oahu,HI,2026-06-30 15:36:57,PWR-12V,12V 5A Power Supply,Power,6,9.27,25.68,154.08,55.62,98.46,Ikaika,Tourism/Hospitality,ACH,835
HI003-TX-0020,HI003,Pearl City,Oahu,HI,2026-06-30 12:02:49,MAR-TIN,Tinned Marine Wire,Marine Electronics,5,8.72,27.47,137.35,43.60,93.75,Iolana,Tourism/Hospitality,Credit Card,61
HI003-TX-0021,HI003,Pearl City,Oahu,HI,2026-06-30 11:14:40,PWR-12V,12V 5A Power Supply,Power,2,9.03,23.51,47.02,18.06,28.96,Ikaika,Maker/Hobbyist,Purchase Order,864
HI003-TX-0022,HI003,Pearl City,Oahu,HI,2026-06-30 08:31:11,MAR-TIN,Tinned Marine Wire,Marine Electronics,3,8.94,25.73,77.19,26.82,50.37,Pualani,Retail,Purchase Order,770
HI003-TX-0023,HI003,Pearl City,Oahu,HI,2026-06-30 14:39:52,MAR-ANT,Marine Antenna Connector,Marine Electronics,5,3.69,13.91,69.55,18.45,51.10,Ailani,Retail,Cash,33
HI003-TX-0024,HI003,Pearl City,Oahu,HI,2026-06-30 17:04:54,USB-CBO,USB-C Breakout Board,Connectors,38,1.42,5.59,212.42,53.96,158.46,Lani,Maker/Hobbyist,Debit Card,707
HI003-TX-0025,HI003,Pearl City,Oahu,HI,2026-06-30 16:20:14,IC-555,NE555 Timer IC,Integrated Circuits,14,0.33,1.36,19.04,4.62,14.42,Hana,Government,Credit Card,889
HI003-TX-0026,HI003,Pearl City,Oahu,HI,2026-06-30 10:56:55,CON-JMP,Jumper Wire Set,Connectors,27,0.99,3.65,98.55,26.73,71.82,Pualani,Maker/Hobbyist,Purchase Order,122
HI003-TX-0027,HI003,Pearl City,Oahu,HI,2026-06-30 09:24:21,SNS-DHT,DHT22 Temperature Sensor,Sensors,6,2.36,7.46,44.76,14.16,30.60,Akamu,Tourism/Hospitality,Purchase Order,238
HI003-TX-0028,HI003,Pearl City,Oahu,HI,2026-06-30 13:41:03,RES-220,220 Ohm Resistor,Resistors,36,0.03,0.14,5.04,1.08,3.96,Akamu,Government,Cash,802
HI003-TX-0029,HI003,Pearl City,Oahu,HI,2026-06-30 14:07:29,ARD-UNO,Arduino Uno Compatible,Microcontrollers,3,8.23,21.02,63.06,24.69,38.37,Nalu,Marine,Debit Card,765
HI003-TX-0030,HI003,Pearl City,Oahu,HI,2026-06-30 10:37:56,ARD-NANO,Arduino Nano Compatible,Microcontrollers,1,4.49,13.78,13.78,4.49,9.29,Hana,Government,Credit Card,325
HI003-TX-0031,HI003,Pearl City,Oahu,HI,2026-06-30 14:19:15,IC-555,NE555 Timer IC,Integrated Circuits,20,0.37,1.38,27.60,7.40,20.20,Makana,Commercial,Mobile Pay,751
HI003-TX-0032,HI003,Pearl City,Oahu,HI,2026-06-30 12:42:39,SNS-ULT,Ultrasonic Distance Sensor,Sensors,38,1.22,5.35,203.30,46.36,156.94,Nalu,Marine,ACH,749
HI003-TX-0033,HI003,Pearl City,Oahu,HI,2026-06-30 09:22:37,CAP-100,100uF Capacitor,Capacitors,22,0.17,0.59,12.98,3.74,9.24,Hana,Commercial,Debit Card,217
HI003-TX-0034,HI003,Pearl City,Oahu,HI,2026-06-30 17:59:51,BAT-AAH,AA Battery Holder,Batteries,35,0.51,2.63,92.05,17.85,74.20,Akamu,Retail,ACH,380
HI003-TX-0035,HI003,Pearl City,Oahu,HI,2026-06-30 13:07:20,BAT-AAH,AA Battery Holder,Batteries,18,0.52,2.79,50.22,9.36,40.86,Kaleo,Marine,ACH,799
HI003-TX-0036,HI003,Pearl City,Oahu,HI,2026-06-30 09:35:43,SNS-SOIL,Soil Moisture Sensor,Sensors,20,0.93,4.40,88.00,18.60,69.40,Malia,Government,Purchase Order,364
HI003-TX-0037,HI003,Pearl City,Oahu,HI,2026-06-30 14:06:55,LED-RGB,RGB LED Strip,LEDs,2,5.20,14.83,29.66,10.40,19.26,Nalu,Commercial,Debit Card,859
HI003-TX-0038,HI003,Pearl City,Oahu,HI,2026-06-30 09:59:26,USB-CBO,USB-C Breakout Board,Connectors,18,1.38,5.22,93.96,24.84,69.12,Koa,Education,Mobile Pay,525
HI003-TX-0039,HI003,Pearl City,Oahu,HI,2026-06-30 16:33:59,ARD-NANO,Arduino Nano Compatible,Microcontrollers,1,4.86,13.62,13.62,4.86,8.76,Alika,Tourism/Hospitality,Cash,133
HI003-TX-0040,HI003,Pearl City,Oahu,HI,2026-06-30 11:01:28,BRD-830,Breadboard 830 Tie Points,Connectors,3,1.63,6.95,20.85,4.89,15.96,Ikaika,Government,Mobile Pay,23
HI003-TX-0041,HI003,Pearl City,Oahu,HI,2026-06-30 12:35:25,MAR-ANT,Marine Antenna Connector,Marine Electronics,3,3.65,14.13,42.39,10.95,31.44,Ikaika,Tourism/Hospitality,ACH,548
HI003-TX-0042,HI003,Pearl City,Oahu,HI,2026-06-30 11:12:00,IC-REG,7805 Voltage Regulator,Integrated Circuits,15,0.21,0.94,14.10,3.15,10.95,Malia,Maker/Hobbyist,Purchase Order,190
HI003-TX-0043,HI003,Pearl City,Oahu,HI,2026-06-30 08:08:25,BAT-AAH,AA Battery Holder,Batteries,32,0.47,2.86,91.52,15.04,76.48,Hana,Tourism/Hospitality,Mobile Pay,276
HI003-TX-0044,HI003,Pearl City,Oahu,HI,2026-06-30 08:43:27,ARD-UNO,Arduino Uno Compatible,Microcontrollers,1,7.87,20.63,20.63,7.87,12.76,Pualani,Tourism/Hospitality,Cash,732
HI003-TX-0045,HI003,Pearl City,Oahu,HI,2026-06-30 09:17:08,ARD-UNO,Arduino Uno Compatible,Microcontrollers,2,8.11,20.62,41.24,16.22,25.02,Ailani,Retail,ACH,677
HI003-TX-0046,HI003,Pearl City,Oahu,HI,2026-06-30 16:14:25,SNS-SOIL,Soil Moisture Sensor,Sensors,2,0.98,4.43,8.86,1.96,6.90,Iolana,Maker/Hobbyist,Credit Card,12
HI003-TX-0047,HI003,Pearl City,Oahu,HI,2026-06-30 08:18:46,BAT-AAH,AA Battery Holder,Batteries,5,0.48,2.80,14.00,2.40,11.60,Noah,Government,Cash,564
HI003-TX-0048,HI003,Pearl City,Oahu,HI,2026-06-30 11:07:27,LED-BLU,5mm Blue LED,LEDs,30,0.07,0.33,9.90,2.10,7.80,Malia,Retail,Cash,566
HI003-TX-0049,HI003,Pearl City,Oahu,HI,2026-06-30 10:29:35,CAP-010,10uF Capacitor,Capacitors,13,0.09,0.39,5.07,1.17,3.90,Iolana,Maker/Hobbyist,ACH,787
HI003-TX-0050,HI003,Pearl City,Oahu,HI,2026-06-30 13:19:03,CON-JMP,Jumper Wire Set,Connectors,6,0.98,3.93,23.58,5.88,17.70,Kaleo,Tourism/Hospitality,Debit Card,108
HI003-TX-0051,HI003,Pearl City,Oahu,HI,2026-06-30 15:42:14,IC-555,NE555 Timer IC,Integrated Circuits,10,0.34,1.34,13.40,3.40,10.00,Kaleo,Commercial,Mobile Pay,458
HI003-TX-0052,HI003,Pearl City,Oahu,HI,2026-06-30 10:37:03,ARD-NANO,Arduino Nano Compatible,Microcontrollers,2,4.94,13.31,26.62,9.88,16.74,Kaleo,Marine,Mobile Pay,549
HI003-TX-0053,HI003,Pearl City,Oahu,HI,2026-06-30 11:57:45,IC-555,NE555 Timer IC,Integrated Circuits,2,0.35,1.35,2.70,0.70,2.00,Makana,Retail,Cash,71
HI003-TX-0054,HI003,Pearl City,Oahu,HI,2026-06-30 16:06:46,IC-358,LM358 Op Amp,Integrated Circuits,5,0.32,1.20,6.00,1.60,4.40,Keahi,Education,ACH,158
HI003-TX-0055,HI003,Pearl City,Oahu,HI,2026-06-30 08:46:58,IC-358,LM358 Op Amp,Integrated Circuits,1,0.32,1.27,1.27,0.32,0.95,Mika,Commercial,Cash,374
HI003-TX-0056,HI003,Pearl City,Oahu,HI,2026-06-30 09:57:58,PICO-RP,Raspberry Pi Pico,Microcontrollers,8,3.45,8.33,66.64,27.60,39.04,Mika,Tourism/Hospitality,ACH,692
HI003-TX-0057,HI003,Pearl City,Oahu,HI,2026-06-30 10:44:55,IC-REG,7805 Voltage Regulator,Integrated Circuits,1,0.19,0.98,0.98,0.19,0.79,Kai,Government,Debit Card,280
